dims,hull_category_type,intruder_category_type,data_source,violations
3,VC,all,uniform,10.770000000000003
3,VV,VC,MDS,0.0
3,VV,VC,normal,8.18
3,VV,VC,shuffled_mean,1.7200000000000006
3,VV,VC,shuffled_median,5.6099999999999985
3,VV,VC,uniform,6.650000000000003
3,VV,VV,MDS,1.0
3,VV,VV,normal,7.640000000000002
3,VV,VV,shuffled_mean,1.6100000000000008
3,VV,VV,shuffled_median,4.6499999999999995
3,VV,VV,uniform,5.19
3,VV,all,MDS,1.0
3,VV,all,normal,15.820000000000002
3,VV,all,shuffled_mean,3.3300000000000005
3,VV,all,shuffled_median,10.260000000000003
3,VV,all,uniform,11.840000000000002
3,all,VC,MDS,0.0
3,all,VC,normal,16.130000000000003
3,all,VC,shuffled_mean,3.29
3,all,VC,shuffled_median,10.129999999999999
3,all,VC,uniform,11.65
3,all,VV,MDS,1.0
3,all,VV,normal,17.07
3,all,VV,shuffled_mean,3.269999999999999
3,all,VV,shuffled_median,10.080000000000002
3,all,VV,uniform,10.960000000000003
3,all,all,MDS,1.0
3,all,all,normal,33.199999999999996
3,all,all,shuffled_mean,6.559999999999994
3,all,all,shuffled_median,20.210000000000008
3,all,all,uniform,22.609999999999996
4,VC,VC,MDS,0.0
4,VC,VC,normal,0.4700000000000001
4,VC,VC,shuffled_mean,0.0
4,VC,VC,shuffled_median,0.17000000000000004
4,VC,VC,uniform,0.23000000000000004
4,VC,VV,MDS,0.0
4,VC,VV,normal,0.6600000000000003
4,VC,VV,shuffled_mean,0.02
4,VC,VV,shuffled_median,0.2
4,VC,VV,uniform,0.41000000000000014
4,VC,all,MDS,0.0
4,VC,all,normal,1.1300000000000006
4,VC,all,shuffled_mean,0.02
4,VC,all,shuffled_median,0.3700000000000001
4,VC,all,uniform,0.6400000000000002
4,VV,VC,MDS,0.0
4,VV,VC,normal,0.7500000000000003
4,VV,VC,shuffled_mean,0.0
4,VV,VC,shuffled_median,0.19
4,VV,VC,uniform,0.25000000000000006
4,VV,VV,MDS,0.0
4,VV,VV,normal,0.5700000000000002
4,VV,VV,shuffled_mean,0.01
4,VV,VV,shuffled_median,0.16
4,VV,VV,uniform,0.30000000000000004
4,VV,all,MDS,0.0
4,VV,all,normal,1.3200000000000007
4,VV,all,shuffled_mean,0.01
4,VV,all,shuffled_median,0.35000000000000014
4,VV,all,uniform,0.5500000000000003
4,all,VC,MDS,0.0
4,all,VC,normal,1.2200000000000006
4,all,VC,shuffled_mean,0.0
4,all,VC,shuffled_median,0.36000000000000015
4,all,VC,uniform,0.4800000000000002
4,all,VV,MDS,0.0
4,all,VV,normal,1.2300000000000006
4,all,VV,shuffled_mean,0.03
4,all,VV,shuffled_median,0.3600000000000001
4,all,VV,uniform,0.7100000000000004
4,all,all,MDS,0.0
4,all,all,normal,2.449999999999999
4,all,all,shuffled_mean,0.03
4,all,all,shuffled_median,0.7200000000000004
4,all,all,uniform,1.1900000000000006
5,VC,VC,MDS,0.0
5,VC,VC,normal,0.0
5,VC,VC,shuffled_mean,0.0
5,VC,VC,shuffled_median,0.0
5,VC,VC,uniform,0.0
5,VC,VV,MDS,0.0
5,VC,VV,normal,0.0
5,VC,VV,shuffled_mean,0.0
5,VC,VV,shuffled_median,0.0
5,VC,VV,uniform,0.0
5,VC,all,MDS,0.0
5,VC,all,normal,0.0
5,VC,all,shuffled_mean,0.0
5,VC,all,shuffled_median,0.0
5,VC,all,uniform,0.0
5,VV,VC,MDS,0.0
5,VV,VC,normal,0.0
5,VV,VC,shuffled_mean,0.0
5,VV,VC,shuffled_median,0.0
5,VV,VC,uniform,0.0
5,VV,VV,MDS,0.0
5,VV,VV,normal,0.0
5,VV,VV,shuffled_mean,0.0
5,VV,VV,shuffled_median,0.0
5,VV,VV,uniform,0.0
5,VV,all,MDS,0.0
5,VV,all,normal,0.0
5,VV,all,shuffled_mean,0.0
5,VV,all,shuffled_median,0.0
5,VV,all,uniform,0.0
5,all,VC,MDS,0.0
5,all,VC,normal,0.0
5,all,VC,shuffled_mean,0.0
5,all,VC,shuffled_median,0.0
5,all,VC,uniform,0.0
5,all,VV,MDS,0.0
5,all,VV,normal,0.0
5,all,VV,shuffled_mean,0.0
5,all,VV,shuffled_median,0.0
5,all,VV,uniform,0.0
5,all,all,MDS,0.0
5,all,all,normal,0.0
5,all,all,shuffled_mean,0.0
5,all,all,shuffled_median,0.0
5,all,all,uniform,0.0
