SubjID,SubjAge,category,category_nr,visSim,artificiality,item,item_nr,picture_id,RT,Response
2,22,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,448,länglich
2,22,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,689,gleich
3,22,Huftier,10,1,nat,Pferd,9,C10I09_Pferd_0,369,länglich
3,22,Vogel,21,1,nat,Adler,1,C21I01_Adler_0,981,gleich
3,22,Gebäude,4,0,art,Leuchtturm,9,C04I09_Leuchtturm_0,1039,länglich
3,22,Bekleidung,12,1,art,Jacke,6,C12I06_Jacke_0,609,länglich
3,22,Huftier,10,1,nat,Ziege,14,C10I14_Ziege_0,1012,länglich
3,22,Gebäude,4,0,art,Iglu,7,C04I07_Iglu_0,624,gleich
3,22,Gemüse,5,0,nat,Paprika,11,C05I11_Paprika_0,724,länglich
3,22,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,708,gleich
3,22,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,242,länglich
3,22,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,2062,gleich
3,22,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,657,länglich
3,22,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,547,länglich
3,22,Obst,13,0,nat,Banane,3,C13I03_Banane_0,1763,länglich
3,22,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,612,gleich
3,22,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,1712,gleich
3,22,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,867,länglich
3,22,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,1261,gleich
3,22,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,447,gleich
3,22,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,659,länglich
3,22,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,364,gleich
3,22,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,449,länglich
3,22,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,237,gleich
3,22,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,719,länglich
3,22,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,497,länglich
3,22,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,766,gleich
3,22,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,1300,länglich
