SubjID,SubjAge,category,category_nr,visSim_1sim_0dis,artificiality,item,item_nr,picture_id,RT,Response
3,22,Fahrzeug,19,0,art,Bus,2,C19I02_Bus_0,524,gerade
3,22,Huftier,10,1,nat,Esel,1,C10I01_Esel_0,376,gebogen
3,22,Gebäude,4,0,art,Windmühle,15,C04I15_Windmühle_0,2921,gebogen
3,22,Pflanze,14,1,nat,Tulpe,21,C14I21_Tulpe_0,696,gebogen
3,22,Geschirr,6,0,art,Schüssel,10,C06I10_Schüssel_0,2009,gebogen
3,22,Obst,13,0,nat,Banane,3,C13I03_Banane_0,1048,gebogen
3,22,Elektrogerät,3,1,art,Waschmaschine,10,C03I10_Waschmaschine_0,283,gerade
3,22,Geschirr,6,0,art,Glas,4,C06I04_Glas_0,1144,gerade
3,22,Vogel,21,1,nat,Storch,11,C21I11_Storch_0,417,gebogen
3,22,Elektrogerät,3,1,art,Fernseher,2,C03I02_Fernseher_0,319,gerade
3,22,Obst,13,0,nat,Apfel,1,C13I01_Apfel_0,286,gebogen
3,22,Geschirr,6,0,art,Teller,12,C06I12_Teller_0,337,gebogen
3,22,Vogel,21,1,nat,Eule,3,C21I03_Eule_0,319,gebogen
3,22,Gemüse,5,0,nat,Möhre,7,C05I07_Möhre_0,779,gerade
3,22,Elektrogerät,3,1,art,Mikrowelle,8,C03I08_Mikrowelle_0,443,gerade
3,22,Pflanze,14,1,nat,Palme,16,C14I16_Palme_0,210,gebogen
3,22,Geschirr,6,0,art,Salzstreuer,7,C06I07_Salzstreuer_0,186,gerade
3,22,Pflanze,14,1,nat,Sonnenblume,19,C14I19_Sonnenblume_0,319,gebogen
3,22,Insekt,7,0,nat,Schmetterling,11,C07I11_Schmetterling_0,574,gebogen
3,22,Gemüse,5,0,nat,Zwiebel,15,C05I15_Zwiebel_0,553,gebogen
3,22,Werkzeug,25,1,art,Zange,13,C25I13_Zange_0,561,gerade
3,22,Fahrzeug,19,0,art,Fahrrad,4,C19I04_Fahrrad_0,206,gebogen
3,22,Insekt,7,0,nat,Fliege,3,C07I03_Fliege_0,1340,gerade
3,22,Obst,13,0,nat,Himbeere,5,C13I05_Himbeere_0,394,gebogen
3,22,Vogel,21,1,nat,Taube,12,C21I12_Taube_0,559,gebogen
3,22,Gebäude,4,0,art,Pyramide,11,C04I11_Pyramide_0,385,gerade
3,22,Gemüse,5,0,nat,Spargel,16,C05I16_Spargel_0,349,gerade
3,22,Obst,13,0,nat,Kirsche,7,C13I07_Kirsche_0,446,gebogen
3,22,Bekleidung,12,1,art,Uniform,12,C12I12_Uniform_0,617,gerade
3,22,Gemüse,5,0,nat,Brokkoli,4,C05I04_Brokkoli_0,362,gebogen
3,22,Werkzeug,25,1,art,Axt,1,C25I01_Axt_0,461,gerade
3,22,Pflanze,14,1,nat,Rose,17,C14I17_Rose_0,253,gebogen
3,22,Fahrzeug,19,0,art,Auto,1,C19I01_Auto_0,274,gerade
3,22,Elektrogerät,3,1,art,Toaster,9,C03I09_Toaster_0,537,gerade
3,22,Insekt,7,0,nat,Ameise,1,C07I01_Ameise_0,299,gebogen
3,22,Fahrzeug,19,0,art,Traktor,12,C19I12_Traktor_0,363,gerade
3,22,Vogel,21,1,nat,Papagei,7,C21I07_Papagei_0,266,gebogen
