Relation,Relation+AF8-visSim,Relation+AF8-artificiality,Relation+AF8-category,Item1+AF8-ID,Item1+AF8-Name,Item1+AF8-visSim,Item1+AF8-Artif,Item2+AF8-ID,Item2+AF8-Name,Item2+AF8-visSim,Item2+AF8-Artif,Subj781,Subj785,Subj786,Subj789,Subj790,Subj791,Subj793,Subj794,Subj796,Subj797,Subj798,Subj799,Subj802,Subj804,Subj806,Subj808,Subj809,Subj813,Subj814,Subj820,Subj821,Subj822,Subj824,Subj831,Subj832,Subj833,Subj836,Subj837,Subj838,Subj839,Subj840,Subj841,Subj844,Subj852,Subj855,Subj860,Subj870,Subj871,Subj875,Subj876,Subj877,Subj885,Subj887,Subj904,Subj912,Subj913,Subj920,Subj921,Subj924,Subj944,Subj991,Subj1008,Subj1042,Subj1054,Subj1094,Subj1096,Subj1097,Subj1101,Subj1135,Subj1138,Subj1151,Subj1159
between,SimDis,nat,mix,C14I21,Tulpe,Sim,nat,C13I05,Himbeere,Dis,nat,,,2,,,2,,,,,,,1,3,,,,,,,,1,,,,1,,,,,1,1,,,,,3,3,,,,2,,,,3,,,1,,,,,1,,,5,1,,,,
between,visSim,nat,mix,C21I12,Taube,Sim,nat,C14I16,Palme,Sim,nat,,,2,,,4,,,,,,,1,2,,,,,,,,1,,,,1,,,,,1,1,,,,,2,4,,,,1,,,,1,,,1,,,,,1,,,3,1,,,,
between,SimDis,art,mix,C25I13,Zange,Sim,art,C19I04,Fahrrad,Dis,art,,,2,,,1,,,,,,,1,2,,,,,,,,1,,,,1,,,,,1,1,,,,,2,2,,,,2,,,,1,,,1,,,,,1,,,5,1,,,,
within ,visSim,art,C03,C03I09,Toaster,Sim,art,C03I04,Sp+//0Aw//9ALw-lmaschine,Sim,art,,,4,,,2,,,,,,,1,5,,,,,,,,5,,,,1,,,,,4,5,,,,,4,5,,,,5,,,,4,,,3,,,,,5,,,4,3,,,,
within ,visSim,nat,C14,C14I17,Rose,Sim,nat,C14I10,L+//0Aw//9ALY-wenzahn,Sim,nat,,,4,,,5,,,,,,,5,1,,,,,,,,5,,,,5,,,,,5,5,,,,,5,5,,,,5,,,,5,,,4,,,,,1,,,5,4,,,,
between,SimDis,mix,mix,C05I15,Zwiebel,Dis,nat,C03I02,Fernseher,Sim,art,,,2,,,3,,,,,,,1,3,,,,,,,,1,,,,1,,,,,1,3,,,,,3,4,,,,4,,,,1,,,1,,,,,3,,,4,1,,,,
between,SimDis,mix,mix,C13I07,Kirsche,Dis,nat,C03I04,Sp+//0Aw//9ALw-lmaschine,Sim,art,,,1,,,1,,,,,,,1,1,,,,,,,,1,,,,1,,,,,1,1,,,,,1,3,,,,1,,,,1,,,1,,,,,1,,,1,1,,,,
between,SimDis,art,mix,C04I11,Pyramide,Dis,art,C03I09,Toaster,Sim,art,,,1,,,3,,,,,,,1,2,,,,,,,,1,,,,1,,,,,1,1,,,,,4,2,,,,4,,,,3,,,1,,,,,3,,,3,3,,,,
between,visSim,art,mix,C12I12,Uniform,Sim,art,C03I10,Waschmaschine,Sim,art,,,2,,,4,,,,,,,1,4,,,,,,,,1,,,,1,,,,,1,2,,,,,2,1,,,,4,,,,1,,,2,,,,,1,,,3,2,,,,
between,visDis,mix,mix,C05I15,Zwiebel,Dis,nat,C04I08,Kirche,Dis,art,,,1,,,3,,,,,,,1,1,,,,,,,,1,,,,1,,,,,1,1,,,,,1,2,,,,5,,,,1,,,2,,,,,1,,,1,1,,,,
