aggregator,block_size,image_size,scoring,weights,kendall
mean,12,24,Manhattan,optimized,0.26735779123399095
median,12,24,Euclidean,fixed,0.061403425340101465
median,12,24,Euclidean,optimized,0.154746848976965
median,12,24,InnerProduct,fixed,0.036558172330882016
median,12,24,InnerProduct,optimized,0.1312908152641186
median,12,24,Manhattan,fixed,0.053600947461559544
median,12,24,Manhattan,optimized,0.13184690809485033
min,12,24,Euclidean,fixed,0.22946281980946137
min,12,24,Euclidean,optimized,0.3239391797570638
min,12,24,InnerProduct,fixed,0.1449691537962656
min,12,24,InnerProduct,optimized,0.2292636139598979
min,12,24,Manhattan,fixed,0.22315095754298955
min,12,24,Manhattan,optimized,0.30087325317247915
max,13,22,Euclidean,fixed,0.05390831555543376
max,13,22,Euclidean,optimized,0.06675022400143381
max,13,22,InnerProduct,fixed,0.05760509149008521
max,13,22,InnerProduct,optimized,0.07070150091566049
max,13,22,Manhattan,fixed,0.057081962462073116
max,13,22,Manhattan,optimized,0.06069656010546308
mean,13,22,Euclidean,fixed,0.14077326223403544
mean,13,22,Euclidean,optimized,0.2684383007105756
mean,13,22,InnerProduct,fixed,0.07865462810491748
mean,13,22,InnerProduct,optimized,0.15013427827721731
mean,13,22,Manhattan,fixed,0.16345088245192793
mean,13,22,Manhattan,optimized,0.26406832230045507
median,13,22,Euclidean,fixed,0.064761259594134
median,13,22,Euclidean,optimized,0.11688065108807018
median,13,22,InnerProduct,fixed,0.040568856112064115
median,13,22,InnerProduct,optimized,0.1299486176562771
median,13,22,Manhattan,fixed,0.056031899553130086
median,13,22,Manhattan,optimized,0.11850010912940503
min,13,22,Euclidean,fixed,0.23887423392544263
min,13,22,Euclidean,optimized,0.3378032926269296
min,13,22,InnerProduct,fixed,0.1545437822256378
min,13,22,InnerProduct,optimized,0.2526689806113974
min,13,22,Manhattan,fixed,0.22942397370721088
min,13,22,Manhattan,optimized,0.3177677793240397
max,14,21,Euclidean,fixed,0.03702866830213403
max,14,21,Euclidean,optimized,0.04451919878538798
max,14,21,InnerProduct,fixed,0.037683900304712574
max,14,21,InnerProduct,optimized,0.06307507731506623
max,14,21,Manhattan,fixed,0.03726342742614594
max,14,21,Manhattan,optimized,0.03972935815315465
mean,14,21,Euclidean,fixed,0.1411803810831679
mean,14,21,Euclidean,optimized,0.26704571361328194
