configuration,fold,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,4,0.22747543130840522,0.28198939130521,0.2251377850437509,0.16085892033194465,0.22862663399150135,0.28323840473632134,5.019644894548825,3.081449088613479,1.7700201016323907,2.424930595404031,0.290431948424602,0.5913987683109483
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,2,0.2296146843669024,0.2607762011007464,0.20779404212653887,0.18749705864204042,0.22196088330831334,0.2562767778842036,5.2009577605456725,3.259449687175722,1.8478334166298107,2.553380610397884,0.2682933846736441,0.570666430145198
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,2,0.19738100924021154,0.23137644575097366,0.17104431112284965,0.22492600477587246,0.1900208823354735,0.22935041356558342,4.787961571133867,3.1242766554128862,1.7840956318427106,2.45372987479823,0.2959652031933775,0.5977414681333668
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,0,0.22092976072368078,0.22896753010263532,0.21017867625580938,0.2091798563621213,0.22170767092677066,0.24440742550751407,4.902903686503975,3.269459793768468,1.8033819361085794,2.534956550171181,0.2648714788677741,0.586571923921607
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.1_mean_4,4,0.2046171403911013,0.22273136018464634,0.20555428724650154,0.16452962040637367,0.2032597131910787,0.22428592551844595,4.750306462409545,3.0893650327718682,1.7742304607714925,2.431059836983681,0.2936509651432232,0.5944623474840607
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,0,0.21010166836657732,0.33017374544024786,0.2491929612903055,0.2351802790211151,0.21038229033581274,0.32693631213002156,4.816959989927253,3.3800020120837395,1.610931553040232,2.492020063186178,0.25493415148890747,0.628966270059043
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,2,0.20712446505575846,0.3037360383405082,0.2822750284170105,0.23993794405432492,0.20622647475420505,0.29652012470832184,4.803532191607417,3.033882126703717,1.690462307145401,2.3631366922855377,0.3165292337719275,0.6460091261623465
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,4,0.2169318765759219,0.23158214018624115,0.22034371763444024,0.17312962329266915,0.21410738382510558,0.2248181295410278,5.089297480824042,3.6678801798885563,1.7896617297663981,2.723455752163517,0.19639333435832237,0.6024763187489339
c1.0_r0.0_m0.0_b64_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,2,0.21039273208350523,0.22711262416700612,0.22232112360370396,0.21982811946964045,0.21349915202201852,0.23491045901059607,5.057542014036859,3.7317157282699163,1.7598730568569534,2.7396549732332325,0.19607237879719053,0.602866428576866
c1.0_r0.0_m0.0_b512_w0.0005_v0.0_eFalse_dFalse_n0.25_mean_4,1,0.20546292195419233,0.31865022957708156,0.2552047975242518,0.23219083925117956,0.2073202478249925,0.31272891276260384,4.919305131430528,3.3491998092609063,1.6688301489559971,2.505622997322861,0.2614266248448771,0.6336201159552652
c1.0_r0.0_m0.0_b64_w0.001_v0.0_eFalse_dFalse_n0.1_mean_4,1,0.2077601064465383,0.23515233787981132,0.23409680456390014,0.22835385335966327,0.20301172168338225,0.2275651215088755,4.86834465295198,2.98035202262973,1.7314506100598646,2.35791387001349,0.3156847595803592,0.6012171351161538
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eFalse_dFalse_n0.25_mean_4,3,0.22260435600986253,0.30443921420360354,0.2689135070260187,0.2598079904670333,0.22352584024372404,0.30849765996134065,5.126259685117371,3.3210182072187036,1.6170076310148045,2.4659829947656515,0.26406070984261376,0.62844193726109
