configuration,fold,epoch,kendall_Euclidean_fixed,kendall_Euclidean_optimized,kendall_InnerProduct_fixed,kendall_InnerProduct_optimized,kendall_Manhattan_fixed,kendall_Manhattan_optimized,loss,berlin_loss,sketchy_loss,classification_loss,berlin_weighted_acc,sketchy_weighted_acc
c1.0_r0.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,4,11,0.23757129610857342,0.28864760616420493,0.25931101480432023,0.2745769870142339,0.23932159406552567,0.2906537418008072,2.4351646595214094,1.8212827217537466,1.0163706516118682,1.4187940135652921,0.542550974741274,0.7438179115847665
c1.0_r0.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,3,146,0.21227094144969036,0.2490843303845578,0.23240654665617969,0.22317993308257913,0.1947222792340134,0.25625368525699443,3.7264633834410685,1.7484238218002832,0.9564660104920669,1.355190131043293,0.5660841286960914,0.7604314113794541
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,1,129,0.21643719877899054,0.30598476889952064,0.20933681034810303,0.22629875941672029,0.2073528782865315,0.2962022057812077,3.3007722086906433,1.5137675137168796,0.9316906079801978,1.225995177164978,0.6127357948166984,0.7797912218424738
c1.0_r0.0_m0.0_b512_w0.001_v0.0_eTrue_dFalse_n0.1_mean_4,3,173,0.21254764776354113,0.25972904381705936,0.2555167447365647,0.2324161064927303,0.2029973642803051,0.26607828948603335,3.3834881464851145,1.5864835395235615,0.957521637902272,1.2757888291687989,0.6083613211281446,0.7782976583522193
c1.0_r0.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,1,11,0.21724382378823476,0.2783346649594239,0.23216116558540634,0.2555331388010848,0.21680004951130427,0.2841458271291196,2.998410029022061,1.865882569925003,1.0579627656188546,1.460805902506624,0.5346324166947481,0.735224191531843
c1.0_r0.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,0,18,0.21999000343135744,0.29906279747863773,0.2351292323669943,0.27553851980657107,0.2197028553698142,0.306799455282628,2.934238694092449,1.6917448587469788,1.0397826772709282,1.3668247514981395,0.5771169319676557,0.7489894968338159
c1.0_r0.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,2,180,0.21400166112971922,0.26518215335966383,0.21695406528976838,0.2290895553429248,0.19551976771402668,0.28210324424419014,3.68182762113396,1.6504059145076777,0.949855413088385,1.3046007983508159,0.5837371233640885,0.7651411441485493
c1.0_r0.0_m0.0_b512_w0.002_v0.0_eTrue_dFalse_n0.1_mean_4,0,198,0.2346332493516014,0.2631246554152754,0.2543107228780831,0.23514243675887703,0.21611089416360046,0.2727958161805909,3.6844024540380556,1.696294432492426,0.9258806797256883,1.3139532103547635,0.5771628308965235,0.7684208927756669
c1.0_r0.0_m0.0_b512_w0.0002_v0.0_eTrue_dFalse_n0.1_mean_4,2,13,0.2086881167727076,0.2650290786865489,0.2577578048350636,0.26432959441945514,0.21047235040966042,0.27965069374335244,3.0040664398366093,1.830735303306408,1.0650095124317676,1.4492106808229368,0.5436530993142906,0.7352435007928586
c1.0_r0.0_m0.0_b512_w0.0_v0.0_eTrue_dFalse_n0.1_mean_4,2,12,0.2132576866066299,0.2735330324741071,0.24780159841028235,0.24996247436943123,0.21312063866816608,0.2852443315392133,2.4876170075791224,1.8626042686353208,1.037325641620524,1.4502913668751716,0.5383882530538403,0.7421475820139963
