n_dims,type,dims,scoring,weights,kendall
2,attentive,LINES-artificial,InnerProduct,optimized,0.1938387519867501
2,attentive,LINES-artificial,Manhattan,fixed,0.20663813918448093
2,attentive,LINES-artificial,Manhattan,optimized,0.2028533347213382
2,pre-attentive,LINES-artificial,Euclidean,fixed,0.2038704765276361
2,pre-attentive,LINES-artificial,Euclidean,optimized,0.20499881329633327
2,pre-attentive,LINES-artificial,InnerProduct,fixed,0.1947072959731421
2,pre-attentive,LINES-artificial,InnerProduct,optimized,0.19533642996405604
2,pre-attentive,LINES-artificial,Manhattan,fixed,0.2036702175896144
2,pre-attentive,LINES-artificial,Manhattan,optimized,0.20378402987644545
2,attentive,LINES-visSim,Euclidean,fixed,0.1425323145810104
2,attentive,LINES-visSim,Euclidean,optimized,0.16145413888487695
2,attentive,LINES-visSim,InnerProduct,fixed,0.13425489443135213
2,attentive,LINES-visSim,InnerProduct,optimized,0.14805112367736287
2,attentive,LINES-visSim,Manhattan,fixed,0.14253386270424345
2,attentive,LINES-visSim,Manhattan,optimized,0.17649429514477438
2,pre-attentive,LINES-visSim,Euclidean,fixed,0.1377591032389768
2,pre-attentive,LINES-visSim,Euclidean,optimized,0.16172687465195446
2,pre-attentive,LINES-visSim,InnerProduct,fixed,0.13289994883759262
2,pre-attentive,LINES-visSim,InnerProduct,optimized,0.1488292701064084
2,pre-attentive,LINES-visSim,Manhattan,fixed,0.13750077774850783
2,pre-attentive,LINES-visSim,Manhattan,optimized,0.1755499047548454
2,attentive,ORIENTATION-artificial,Euclidean,fixed,0.25260755979622673
2,attentive,ORIENTATION-artificial,Euclidean,optimized,0.2646295073199302
2,attentive,ORIENTATION-artificial,InnerProduct,fixed,0.24822780156531343
2,attentive,ORIENTATION-artificial,InnerProduct,optimized,0.26278908268877565
2,attentive,ORIENTATION-artificial,Manhattan,fixed,0.25260911423260757
2,attentive,ORIENTATION-artificial,Manhattan,optimized,0.2649503357280496
2,pre-attentive,ORIENTATION-artificial,Euclidean,fixed,0.2465799924804773
2,pre-attentive,ORIENTATION-artificial,Euclidean,optimized,0.2590997911733738
2,pre-attentive,ORIENTATION-artificial,InnerProduct,fixed,0.24274981451433397
2,pre-attentive,ORIENTATION-artificial,InnerProduct,optimized,0.2581772700521762
2,pre-attentive,ORIENTATION-artificial,Manhattan,fixed,0.24652497089598818
2,pre-attentive,ORIENTATION-artificial,Manhattan,optimized,0.26027440065288393
2,attentive,ORIENTATION-visSim,Euclidean,fixed,0.1568569357958041
2,attentive,ORIENTATION-visSim,Euclidean,optimized,0.18574689608401035
2,attentive,ORIENTATION-visSim,InnerProduct,fixed,0.15194027697830653
2,attentive,ORIENTATION-visSim,InnerProduct,optimized,0.19853300547873873
2,attentive,ORIENTATION-visSim,Manhattan,fixed,0.1568585429436707
2,attentive,ORIENTATION-visSim,Manhattan,optimized,0.20269935968939445
2,pre-attentive,ORIENTATION-visSim,Euclidean,fixed,0.15261487532356344
2,pre-attentive,ORIENTATION-visSim,Euclidean,optimized,0.17650941873304798
2,pre-attentive,ORIENTATION-visSim,InnerProduct,fixed,0.14559598335857038
2,pre-attentive,ORIENTATION-visSim,InnerProduct,optimized,0.1855221826071459
2,pre-attentive,ORIENTATION-visSim,Manhattan,fixed,0.15258005771994795
2,pre-attentive,ORIENTATION-visSim,Manhattan,optimized,0.1941610288125201
2,metadata,artificial-visSim,Euclidean,fixed,0.19658134950568515
2,metadata,artificial-visSim,Euclidean,optimized,0.2090955745465728
2,metadata,artificial-visSim,InnerProduct,fixed,0.19658134950568515
2,metadata,artificial-visSim,InnerProduct,optimized,0.1877468887521074
2,metadata,artificial-visSim,Manhattan,fixed,0.19658134950568515
2,metadata,artificial-visSim,Manhattan,optimized,0.2090955745465728
3,attentive,FORM-LINES-ORIENTATION,Euclidean,fixed,0.3353057167302677
3,attentive,FORM-LINES-ORIENTATION,Euclidean,optimized,0.33876503679113024
3,attentive,FORM-LINES-ORIENTATION,InnerProduct,fixed,0.35352753412790827
3,attentive,FORM-LINES-ORIENTATION,InnerProduct,optimized,0.35439251925155746
3,attentive,FORM-LINES-ORIENTATION,Manhattan,fixed,0.33949548048231803
3,attentive,FORM-LINES-ORIENTATION,Manhattan,optimized,0.34174113082134794
3,pre-attentive,FORM-LINES-ORIENTATION,Euclidean,fixed,0.32742482526526684
3,pre-attentive,FORM-LINES-ORIENTATION,Euclidean,optimized,0.326935610317597
3,pre-attentive,FORM-LINES-ORIENTATION,InnerProduct,fixed,0.3507470821397901
3,pre-attentive,FORM-LINES-ORIENTATION,InnerProduct,optimized,0.3465015760727085
3,pre-attentive,FORM-LINES-ORIENTATION,Manhattan,fixed,0.33449151194537297
3,pre-attentive,FORM-LINES-ORIENTATION,Manhattan,optimized,0.3345299775120119
3,attentive,FORM-LINES-artificial,Euclidean,fixed,0.2546075932625929
3,attentive,FORM-LINES-artificial,Euclidean,optimized,0.2720532831300474
3,attentive,FORM-LINES-artificial,InnerProduct,fixed,0.265659244546649
3,attentive,FORM-LINES-artificial,InnerProduct,optimized,0.31294304743913576
3,attentive,FORM-LINES-artificial,Manhattan,fixed,0.2601496765673899
3,attentive,FORM-LINES-artificial,Manhattan,optimized,0.2821525023192158
3,pre-attentive,FORM-LINES-artificial,Euclidean,fixed,0.2568143805429279
3,pre-attentive,FORM-LINES-artificial,Euclidean,optimized,0.2735712872060369
3,pre-attentive,FORM-LINES-artificial,InnerProduct,fixed,0.26241684889707134
3,pre-attentive,FORM-LINES-artificial,InnerProduct,optimized,0.2987670803432334
3,pre-attentive,FORM-LINES-artificial,Manhattan,fixed,0.2617463433853682
3,pre-attentive,FORM-LINES-artificial,Manhattan,optimized,0.2807694106553843
3,attentive,FORM-LINES-visSim,Euclidean,fixed,0.17501421002128806
3,attentive,FORM-LINES-visSim,Euclidean,optimized,0.20893981853864427
3,attentive,FORM-LINES-visSim,InnerProduct,fixed,0.18865147660178885
3,attentive,FORM-LINES-visSim,InnerProduct,optimized,0.24226800883758895
3,attentive,FORM-LINES-visSim,Manhattan,fixed,0.1842239364408757
3,attentive,FORM-LINES-visSim,Manhattan,optimized,0.2401783063132879
3,pre-attentive,FORM-LINES-visSim,Euclidean,fixed,0.17546050963814436
3,pre-attentive,FORM-LINES-visSim,Euclidean,optimized,0.2228514536724659
3,pre-attentive,FORM-LINES-visSim,InnerProduct,fixed,0.18272498829156297
3,pre-attentive,FORM-LINES-visSim,InnerProduct,optimized,0.24068770240127363
3,pre-attentive,FORM-LINES-visSim,Manhattan,fixed,0.18471310906012262
3,pre-attentive,FORM-LINES-visSim,Manhattan,optimized,0.24496938077295058
3,attentive,FORM-ORIENTATION-artificial,Euclidean,fixed,0.3073536759460924
3,attentive,FORM-ORIENTATION-artificial,Euclidean,optimized,0.33771619148287957
3,attentive,FORM-ORIENTATION-artificial,InnerProduct,fixed,0.3138848681427684
3,attentive,FORM-ORIENTATION-artificial,InnerProduct,optimized,0.36516433860195796
3,attentive,FORM-ORIENTATION-artificial,Manhattan,fixed,0.3087690894822215
3,attentive,FORM-ORIENTATION-artificial,Manhattan,optimized,0.3478992713867114
3,pre-attentive,FORM-ORIENTATION-artificial,Euclidean,fixed,0.30005974404835695
3,pre-attentive,FORM-ORIENTATION-artificial,Euclidean,optimized,0.3300397707281698
3,pre-attentive,FORM-ORIENTATION-artificial,InnerProduct,fixed,0.30722309170391704
3,pre-attentive,FORM-ORIENTATION-artificial,InnerProduct,optimized,0.3580716429069639
3,pre-attentive,FORM-ORIENTATION-artificial,Manhattan,fixed,0.30551196908763706
3,pre-attentive,FORM-ORIENTATION-artificial,Manhattan,optimized,0.3411061161562017
3,attentive,FORM-ORIENTATION-visSim,Euclidean,fixed,0.20773341703252488
3,attentive,FORM-ORIENTATION-visSim,Euclidean,optimized,0.2724488177029264
3,attentive,FORM-ORIENTATION-visSim,InnerProduct,fixed,0.21327005118486292
3,attentive,FORM-ORIENTATION-visSim,InnerProduct,optimized,0.29862577331994955
3,attentive,FORM-ORIENTATION-visSim,Manhattan,fixed,0.21109257726926073
3,attentive,FORM-ORIENTATION-visSim,Manhattan,optimized,0.2965261869870398
3,pre-attentive,FORM-ORIENTATION-visSim,Euclidean,fixed,0.2032024122060386
3,pre-attentive,FORM-ORIENTATION-visSim,Euclidean,optimized,0.26250047907046997
3,pre-attentive,FORM-ORIENTATION-visSim,InnerProduct,fixed,0.20878791424702256
3,pre-attentive,FORM-ORIENTATION-visSim,InnerProduct,optimized,0.29416053740728926
3,pre-attentive,FORM-ORIENTATION-visSim,Manhattan,fixed,0.21057077215409867
3,pre-attentive,FORM-ORIENTATION-visSim,Manhattan,optimized,0.2862304637331424
3,attentive,FORM-artificial-visSim,Euclidean,fixed,0.22093813902335593
3,attentive,FORM-artificial-visSim,Euclidean,optimized,0.24286257577965534
3,attentive,FORM-artificial-visSim,InnerProduct,fixed,0.23335699121420816
3,attentive,FORM-artificial-visSim,InnerProduct,optimized,0.27621552597589805
3,attentive,FORM-artificial-visSim,Manhattan,fixed,0.22093902085659423
3,attentive,FORM-artificial-visSim,Manhattan,optimized,0.2554453509799858
3,pre-attentive,FORM-artificial-visSim,Euclidean,fixed,0.226369449865217
3,pre-attentive,FORM-artificial-visSim,Euclidean,optimized,0.2462804581671702
3,pre-attentive,FORM-artificial-visSim,InnerProduct,fixed,0.23441808848333048
3,pre-attentive,FORM-artificial-visSim,InnerProduct,optimized,0.2732202409654022
3,pre-attentive,FORM-artificial-visSim,Manhattan,fixed,0.22628799497616106
3,pre-attentive,FORM-artificial-visSim,Manhattan,optimized,0.2593256915283058
3,attentive,LINES-ORIENTATION-artificial,Euclidean,fixed,0.27226222242894
3,attentive,LINES-ORIENTATION-artificial,Euclidean,optimized,0.2909033680126813
3,attentive,LINES-ORIENTATION-artificial,InnerProduct,fixed,0.2652781278157479
3,attentive,LINES-ORIENTATION-artificial,InnerProduct,optimized,0.2837602777206443
3,attentive,LINES-ORIENTATION-artificial,Manhattan,fixed,0.2732597060480103
3,attentive,LINES-ORIENTATION-artificial,Manhattan,optimized,0.2955607459587851
3,pre-attentive,LINES-ORIENTATION-artificial,Euclidean,fixed,0.258484735112787
3,pre-attentive,LINES-ORIENTATION-artificial,Euclidean,optimized,0.27614437570365497
3,pre-attentive,LINES-ORIENTATION-artificial,InnerProduct,fixed,0.26285160756604503
3,pre-attentive,LINES-ORIENTATION-artificial,InnerProduct,optimized,0.2730636190551386
3,pre-attentive,LINES-ORIENTATION-artificial,Manhattan,fixed,0.2661286149142703
3,pre-attentive,LINES-ORIENTATION-artificial,Manhattan,optimized,0.2824142576382074
3,attentive,LINES-ORIENTATION-visSim,Euclidean,fixed,0.1942168250283729
3,attentive,LINES-ORIENTATION-visSim,Euclidean,optimized,0.25682880542088443
3,attentive,LINES-ORIENTATION-visSim,InnerProduct,fixed,0.19028949542809348
3,attentive,LINES-ORIENTATION-visSim,InnerProduct,optimized,0.2577684679205969
3,attentive,LINES-ORIENTATION-visSim,Manhattan,fixed,0.19896903240759736
3,attentive,LINES-ORIENTATION-visSim,Manhattan,optimized,0.2787198003290384
3,pre-attentive,LINES-ORIENTATION-visSim,Euclidean,fixed,0.18374096416296481
3,pre-attentive,LINES-ORIENTATION-visSim,Euclidean,optimized,0.2387920939035645
3,pre-attentive,LINES-ORIENTATION-visSim,InnerProduct,fixed,0.18888966826247952
3,pre-attentive,LINES-ORIENTATION-visSim,InnerProduct,optimized,0.24518677728188978
3,pre-attentive,LINES-ORIENTATION-visSim,Manhattan,fixed,0.19512196046225008
3,pre-attentive,LINES-ORIENTATION-visSim,Manhattan,optimized,0.2619900735465751
3,attentive,LINES-artificial-visSim,Euclidean,fixed,0.210848072110382
3,attentive,LINES-artificial-visSim,Euclidean,optimized,0.20341405139125857
3,attentive,LINES-artificial-visSim,InnerProduct,fixed,0.2062337488003145
3,attentive,LINES-artificial-visSim,InnerProduct,optimized,0.19270796289237152
3,attentive,LINES-artificial-visSim,Manhattan,fixed,0.2108469481081282
3,attentive,LINES-artificial-visSim,Manhattan,optimized,0.2065898932303417
3,pre-attentive,LINES-artificial-visSim,Euclidean,fixed,0.2084145662337144
3,pre-attentive,LINES-artificial-visSim,Euclidean,optimized,0.20572816089504142
3,pre-attentive,LINES-artificial-visSim,InnerProduct,fixed,0.2068129855724688
3,pre-attentive,LINES-artificial-visSim,InnerProduct,optimized,0.19073916401671043
3,pre-attentive,LINES-artificial-visSim,Manhattan,fixed,0.20821844509005763
3,pre-attentive,LINES-artificial-visSim,Manhattan,optimized,0.20929534328405022
3,attentive,ORIENTATION-artificial-visSim,Euclidean,fixed,0.2269154194221074
3,attentive,ORIENTATION-artificial-visSim,Euclidean,optimized,0.25185122350003003
3,attentive,ORIENTATION-artificial-visSim,InnerProduct,fixed,0.2245247414950022
3,attentive,ORIENTATION-artificial-visSim,InnerProduct,optimized,0.25797419842644687
3,attentive,ORIENTATION-artificial-visSim,Manhattan,fixed,0.2269158546118263
3,attentive,ORIENTATION-artificial-visSim,Manhattan,optimized,0.2605549712886243
3,pre-attentive,ORIENTATION-artificial-visSim,Euclidean,fixed,0.2213022190587677
3,pre-attentive,ORIENTATION-artificial-visSim,Euclidean,optimized,0.2428470095601954
3,pre-attentive,ORIENTATION-artificial-visSim,InnerProduct,fixed,0.2189463801258865
3,pre-attentive,ORIENTATION-artificial-visSim,InnerProduct,optimized,0.25047579172058765
3,pre-attentive,ORIENTATION-artificial-visSim,Manhattan,fixed,0.22128920883667286
3,pre-attentive,ORIENTATION-artificial-visSim,Manhattan,optimized,0.2503714354996875
4,attentive,FORM-LINES-ORIENTATION-artificial,Euclidean,fixed,0.3099079411597005
4,attentive,FORM-LINES-ORIENTATION-artificial,Euclidean,optimized,0.35504851869168663
4,attentive,FORM-LINES-ORIENTATION-artificial,InnerProduct,fixed,0.31468234185023625
4,attentive,FORM-LINES-ORIENTATION-artificial,InnerProduct,optimized,0.37747855252357326
4,attentive,FORM-LINES-ORIENTATION-artificial,Manhattan,fixed,0.3152480539241028
4,attentive,FORM-LINES-ORIENTATION-artificial,Manhattan,optimized,0.36249330052082185
4,pre-attentive,FORM-LINES-ORIENTATION-artificial,Euclidean,fixed,0.3056652692955152
4,pre-attentive,FORM-LINES-ORIENTATION-artificial,Euclidean,optimized,0.34418750432395706
4,pre-attentive,FORM-LINES-ORIENTATION-artificial,InnerProduct,fixed,0.3154626411278517
4,pre-attentive,FORM-LINES-ORIENTATION-artificial,InnerProduct,optimized,0.368708008899917
4,pre-attentive,FORM-LINES-ORIENTATION-artificial,Manhattan,fixed,0.3157378267587145
4,pre-attentive,FORM-LINES-ORIENTATION-artificial,Manhattan,optimized,0.35434515773140607
4,attentive,FORM-LINES-ORIENTATION-visSim,Euclidean,fixed,0.22711816253712755
4,attentive,FORM-LINES-ORIENTATION-visSim,Euclidean,optimized,0.31197639027425017
4,attentive,FORM-LINES-ORIENTATION-visSim,InnerProduct,fixed,0.23279184208927595
4,attentive,FORM-LINES-ORIENTATION-visSim,InnerProduct,optimized,0.33401081281469625
4,attentive,FORM-LINES-ORIENTATION-visSim,Manhattan,fixed,0.24294079583947897
4,attentive,FORM-LINES-ORIENTATION-visSim,Manhattan,optimized,0.33468142697033876
4,pre-attentive,FORM-LINES-ORIENTATION-visSim,Euclidean,fixed,0.22688290499260194
4,pre-attentive,FORM-LINES-ORIENTATION-visSim,Euclidean,optimized,0.30226336710396706
4,pre-attentive,FORM-LINES-ORIENTATION-visSim,InnerProduct,fixed,0.23279612765986962
4,pre-attentive,FORM-LINES-ORIENTATION-visSim,InnerProduct,optimized,0.33000957640306805
4,pre-attentive,FORM-LINES-ORIENTATION-visSim,Manhattan,fixed,0.24750803554959122
4,pre-attentive,FORM-LINES-ORIENTATION-visSim,Manhattan,optimized,0.32641193215984804
4,attentive,FORM-LINES-artificial-visSim,Euclidean,fixed,0.2311545496847666
4,attentive,FORM-LINES-artificial-visSim,Euclidean,optimized,0.2513819366280818
4,attentive,FORM-LINES-artificial-visSim,InnerProduct,fixed,0.24976458855721653
4,attentive,FORM-LINES-artificial-visSim,InnerProduct,optimized,0.28658238978918016
4,attentive,FORM-LINES-artificial-visSim,Manhattan,fixed,0.23844188741203684
4,attentive,FORM-LINES-artificial-visSim,Manhattan,optimized,0.27032799804610613
4,pre-attentive,FORM-LINES-artificial-visSim,Euclidean,fixed,0.23778702418249245
4,pre-attentive,FORM-LINES-artificial-visSim,Euclidean,optimized,0.261437374485627
4,pre-attentive,FORM-LINES-artificial-visSim,InnerProduct,fixed,0.24727329497825165
4,pre-attentive,FORM-LINES-artificial-visSim,InnerProduct,optimized,0.284387843004168
4,pre-attentive,FORM-LINES-artificial-visSim,Manhattan,fixed,0.24464552545927912
4,pre-attentive,FORM-LINES-artificial-visSim,Manhattan,optimized,0.2753724662595533
4,attentive,FORM-ORIENTATION-artificial-visSim,Euclidean,fixed,0.2616901487292846
4,attentive,FORM-ORIENTATION-artificial-visSim,Euclidean,optimized,0.31749520441766366
4,attentive,FORM-ORIENTATION-artificial-visSim,InnerProduct,fixed,0.27075733341959396
4,attentive,FORM-ORIENTATION-artificial-visSim,InnerProduct,optimized,0.34992578010611647
4,attentive,FORM-ORIENTATION-artificial-visSim,Manhattan,fixed,0.2660395894552481
4,attentive,FORM-ORIENTATION-artificial-visSim,Manhattan,optimized,0.3406554309267117
4,pre-attentive,FORM-ORIENTATION-artificial-visSim,Euclidean,fixed,0.2587716478726143
4,pre-attentive,FORM-ORIENTATION-artificial-visSim,Euclidean,optimized,0.30772314518530713
4,pre-attentive,FORM-ORIENTATION-artificial-visSim,InnerProduct,fixed,0.2667264744700393
4,pre-attentive,FORM-ORIENTATION-artificial-visSim,InnerProduct,optimized,0.3450945833968924
4,pre-attentive,FORM-ORIENTATION-artificial-visSim,Manhattan,fixed,0.2671167457796222
4,pre-attentive,FORM-ORIENTATION-artificial-visSim,Manhattan,optimized,0.3299311204938682
4,attentive,LINES-ORIENTATION-artificial-visSim,Euclidean,fixed,0.248026069771051
4,attentive,LINES-ORIENTATION-artificial-visSim,Euclidean,optimized,0.2789848500444031
4,attentive,LINES-ORIENTATION-artificial-visSim,InnerProduct,fixed,0.24777416727425675
4,attentive,LINES-ORIENTATION-artificial-visSim,InnerProduct,optimized,0.27851385170900855
4,attentive,LINES-ORIENTATION-artificial-visSim,Manhattan,fixed,0.2518514590929602
4,attentive,LINES-ORIENTATION-artificial-visSim,Manhattan,optimized,0.2956117108787466
4,pre-attentive,LINES-ORIENTATION-artificial-visSim,Euclidean,fixed,0.24078129565167442
4,pre-attentive,LINES-ORIENTATION-artificial-visSim,Euclidean,optimized,0.26593243876063105
4,pre-attentive,LINES-ORIENTATION-artificial-visSim,InnerProduct,fixed,0.24646279291922812
4,pre-attentive,LINES-ORIENTATION-artificial-visSim,InnerProduct,optimized,0.2655977988576744
4,pre-attentive,LINES-ORIENTATION-artificial-visSim,Manhattan,fixed,0.24848730668261718
4,pre-attentive,LINES-ORIENTATION-artificial-visSim,Manhattan,optimized,0.28036429794340567
5,attentive,FORM-LINES-ORIENTATION-artificial-visSim,Euclidean,fixed,0.27035141799729856
5,attentive,FORM-LINES-ORIENTATION-artificial-visSim,Euclidean,optimized,0.33352924135579165
5,attentive,FORM-LINES-ORIENTATION-artificial-visSim,InnerProduct,fixed,0.28091696572553443
5,attentive,FORM-LINES-ORIENTATION-artificial-visSim,InnerProduct,optimized,0.3591796806502812
5,attentive,FORM-LINES-ORIENTATION-artificial-visSim,Manhattan,fixed,0.2808060146130077
5,attentive,FORM-LINES-ORIENTATION-artificial-visSim,Manhattan,optimized,0.35312542629150184
5,pre-attentive,FORM-LINES-ORIENTATION-artificial-visSim,Euclidean,fixed,0.2722592727840565
5,pre-attentive,FORM-LINES-ORIENTATION-artificial-visSim,Euclidean,optimized,0.3248342421149858
5,pre-attentive,FORM-LINES-ORIENTATION-artificial-visSim,InnerProduct,fixed,0.28203570367103525
5,pre-attentive,FORM-LINES-ORIENTATION-artificial-visSim,InnerProduct,optimized,0.3552910377020476
5,pre-attentive,FORM-LINES-ORIENTATION-artificial-visSim,Manhattan,fixed,0.28774311297823846
