aggregator,block_size,image_size,scoring,weights,kendall
max,12,24,Euclidean,optimized,0.08069687212345147
max,12,24,InnerProduct,fixed,0.07169995836252463
max,12,24,InnerProduct,optimized,0.10033909179734198
max,12,24,Manhattan,fixed,0.07155888127835265
max,12,24,Manhattan,optimized,0.07878856878879974
mean,12,24,Euclidean,fixed,0.13907628211610856
mean,12,24,Euclidean,optimized,0.2534417703072645
mean,12,24,InnerProduct,fixed,0.0735359511496647
mean,12,24,InnerProduct,optimized,0.16318531386579904
mean,12,24,Manhattan,fixed,0.15578146375584798
mean,12,24,Manhattan,optimized,0.23326354646049827
median,12,24,Euclidean,fixed,0.06340633831225415
median,12,24,Euclidean,optimized,0.14382231499200543
median,12,24,InnerProduct,fixed,0.03456415502645357
median,12,24,InnerProduct,optimized,0.14655079314793323
median,12,24,Manhattan,fixed,0.05109765483608077
median,12,24,Manhattan,optimized,0.10897062631077548
min,12,24,Euclidean,fixed,0.22498547507722177
min,12,24,Euclidean,optimized,0.30751663218964487
min,12,24,InnerProduct,fixed,0.1303040713339624
min,12,24,InnerProduct,optimized,0.23665689837856455
min,12,24,Manhattan,fixed,0.21692822688602548
min,12,24,Manhattan,optimized,0.2752990417862484
max,13,22,Euclidean,fixed,0.061166188313787936
max,13,22,Euclidean,optimized,0.07636347071638021
max,13,22,InnerProduct,fixed,0.06666151437166659
max,13,22,InnerProduct,optimized,0.09411600803784617
max,13,22,Manhattan,fixed,0.06634544007531541
max,13,22,Manhattan,optimized,0.06992567953913362
mean,13,22,Euclidean,fixed,0.1395722559439936
mean,13,22,Euclidean,optimized,0.24179590637394627
mean,13,22,InnerProduct,fixed,0.07342500963553251
mean,13,22,InnerProduct,optimized,0.1682077327560089
mean,13,22,Manhattan,fixed,0.15864114443189056
mean,13,22,Manhattan,optimized,0.23175688947216674
median,13,22,Euclidean,fixed,0.06750532252028316
median,13,22,Euclidean,optimized,0.11705024213571655
median,13,22,InnerProduct,fixed,0.038270266418122076
median,13,22,InnerProduct,optimized,0.15507439908945728
median,13,22,Manhattan,fixed,0.05387269047856082
median,13,22,Manhattan,optimized,0.10584614296174188
min,13,22,Euclidean,fixed,0.23702328195770592
min,13,22,Euclidean,optimized,0.3196338633304306
min,13,22,InnerProduct,fixed,0.1455213314900466
min,13,22,InnerProduct,optimized,0.2592517972346628
min,13,22,Manhattan,fixed,0.22740951777609644
min,13,22,Manhattan,optimized,0.2894900945451259
max,14,21,Euclidean,fixed,0.03976876758012566
max,14,21,Euclidean,optimized,0.04702094121580406
max,14,21,InnerProduct,fixed,0.03977024484623401
max,14,21,InnerProduct,optimized,0.0829815899067868
max,14,21,Manhattan,fixed,0.03966323555078877
max,14,21,Manhattan,optimized,0.04375433124527769
mean,14,21,Euclidean,fixed,0.14098186577061433
mean,14,21,Euclidean,optimized,0.25499670020536513
mean,14,21,InnerProduct,fixed,0.07357510697818195
mean,14,21,InnerProduct,optimized,0.16525384857794242
mean,14,21,Manhattan,fixed,0.16188716261596994
mean,14,21,Manhattan,optimized,0.2360908277008506
median,14,21,Euclidean,fixed,0.061286702795187435
median,14,21,Euclidean,optimized,0.12395258352617047
median,14,21,InnerProduct,fixed,0.03554696632223635
median,14,21,InnerProduct,optimized,0.15153019929727884
median,14,21,Manhattan,fixed,0.05285686383717993
median,14,21,Manhattan,optimized,0.10765985595752729
min,14,21,Euclidean,fixed,0.23188342686767593
min,14,21,Euclidean,optimized,0.3123231009525259
min,14,21,InnerProduct,fixed,0.14267992353397874
min,14,21,InnerProduct,optimized,0.23199296675263711
min,14,21,Manhattan,fixed,0.2226604092892484
min,14,21,Manhattan,optimized,0.27744076530143635
max,15,19,Euclidean,fixed,0.0746911845601026
max,15,19,Euclidean,optimized,0.07177226711386908
max,15,19,InnerProduct,fixed,0.07325236128340236
max,15,19,InnerProduct,optimized,0.08867506528748262
max,15,19,Manhattan,fixed,0.0733156456451829
max,15,19,Manhattan,optimized,0.07028288471737346
mean,15,19,Euclidean,fixed,0.14546390294155465
mean,15,19,Euclidean,optimized,0.24016278514263972
mean,15,19,InnerProduct,fixed,0.07314961364162792
mean,15,19,InnerProduct,optimized,0.15913163028406327
mean,15,19,Manhattan,fixed,0.1630970777171527
mean,15,19,Manhattan,optimized,0.2255512766523236
median,15,19,Euclidean,fixed,0.061837534281550866
median,15,19,Euclidean,optimized,0.11065843098694875
median,15,19,InnerProduct,fixed,0.030568312488980034
median,15,19,InnerProduct,optimized,0.1443715741949101
median,15,19,Manhattan,fixed,0.045392437246934675
median,15,19,Manhattan,optimized,0.08533779071575548
min,15,19,Euclidean,fixed,0.23354102360823917
min,15,19,Euclidean,optimized,0.31894354981905043
min,15,19,InnerProduct,fixed,0.14646960191582517
min,15,19,InnerProduct,optimized,0.2291476574654887
min,15,19,Manhattan,fixed,0.2271475319246763
min,15,19,Manhattan,optimized,0.2832575122713858
max,16,18,Euclidean,fixed,0.05826000848170952
max,16,18,Euclidean,optimized,0.06364000067050668
max,16,18,InnerProduct,fixed,0.057977070819106795
max,16,18,InnerProduct,optimized,0.07820303540483879
max,16,18,Manhattan,fixed,0.05752546584833816
max,16,18,Manhattan,optimized,0.06258827008939419
mean,16,18,Euclidean,fixed,0.14017786609172697
mean,16,18,Euclidean,optimized,0.2717170833552519
mean,16,18,InnerProduct,fixed,0.07312742533880147
mean,16,18,InnerProduct,optimized,0.16134868273830966
mean,16,18,Manhattan,fixed,0.1618662795074274
mean,16,18,Manhattan,optimized,0.2522812584262607
median,16,18,Euclidean,fixed,0.051980031554829075
median,16,18,Euclidean,optimized,0.10396798640772979
median,16,18,InnerProduct,fixed,0.027445625402018944
median,16,18,InnerProduct,optimized,0.1407291570249813
median,16,18,Manhattan,fixed,0.04357953714050558
median,16,18,Manhattan,optimized,0.07770568945069997
min,16,18,Euclidean,fixed,0.23164718670228857
min,16,18,Euclidean,optimized,0.30801911901112333
min,16,18,InnerProduct,fixed,0.15411212026672955
min,16,18,InnerProduct,optimized,0.22993720096301146
min,16,18,Manhattan,fixed,0.22684849011803568
min,16,18,Manhattan,optimized,0.27503823658106824
max,17,17,Euclidean,fixed,0.07507817711151389
max,17,17,Euclidean,optimized,0.07998566988494223
max,17,17,InnerProduct,fixed,0.07516462500937246
max,17,17,InnerProduct,optimized,0.09043624726265356
max,17,17,Manhattan,fixed,0.07507575913479532
max,17,17,Manhattan,optimized,0.07638912134499926
mean,17,17,Euclidean,fixed,0.14340952713868335
mean,17,17,Euclidean,optimized,0.25103523654237775
mean,17,17,InnerProduct,fixed,0.07325402918434055
mean,17,17,InnerProduct,optimized,0.16305729488794188
mean,17,17,Manhattan,fixed,0.1659071610104068
mean,17,17,Manhattan,optimized,0.22856663529022966
median,17,17,Euclidean,fixed,0.058981805038759945
median,17,17,Euclidean,optimized,0.10247252695112519
median,17,17,InnerProduct,fixed,0.03422349931835356
median,17,17,InnerProduct,optimized,0.13253547547248945
median,17,17,Manhattan,fixed,0.04915032011845324
median,17,17,Manhattan,optimized,0.0966554209404591
min,17,17,Euclidean,fixed,0.24221868516304773
min,17,17,Euclidean,optimized,0.3316154857858418
min,17,17,InnerProduct,fixed,0.1597675270989032
min,17,17,InnerProduct,optimized,0.25081509568026217
min,17,17,Manhattan,fixed,0.23636427595339285
min,17,17,Manhattan,optimized,0.30330464465829643
max,18,16,Euclidean,fixed,0.05826579440311942
max,18,16,Euclidean,optimized,0.0629244162287866
max,18,16,InnerProduct,fixed,0.05845894643079124
max,18,16,InnerProduct,optimized,0.0710873464271142
max,18,16,Manhattan,fixed,0.05826579440311942
max,18,16,Manhattan,optimized,0.06173614480451199
mean,18,16,Euclidean,fixed,0.1421852549003776
mean,18,16,Euclidean,optimized,0.24569531867400202
mean,18,16,InnerProduct,fixed,0.07298646435613941
mean,18,16,InnerProduct,optimized,0.15604792303290402
mean,18,16,Manhattan,fixed,0.1674629525968252
mean,18,16,Manhattan,optimized,0.2271793045525674
median,18,16,Euclidean,fixed,0.0579649833426414
median,18,16,Euclidean,optimized,0.07994742019936674
median,18,16,InnerProduct,fixed,0.03040058526078682
median,18,16,InnerProduct,optimized,0.13277022056176066
median,18,16,Manhattan,fixed,0.04680224979627946
median,18,16,Manhattan,optimized,0.07448909442327609
min,18,16,Euclidean,fixed,0.24020012484473818
min,18,16,Euclidean,optimized,0.3411734638264764
min,18,16,InnerProduct,fixed,0.16415167469855044
min,18,16,InnerProduct,optimized,0.2596714734318009
min,18,16,Manhattan,fixed,0.23542794725044652
min,18,16,Manhattan,optimized,0.30824428638046586
max,19,15,Euclidean,fixed,0.07508484139672802
max,19,15,Euclidean,optimized,0.08026301297914239
max,19,15,InnerProduct,fixed,0.0726599031093834
max,19,15,InnerProduct,optimized,0.09043624726265356
max,19,15,Manhattan,fixed,0.07254385421826422
max,19,15,Manhattan,optimized,0.07632071632148549
mean,19,15,Euclidean,fixed,0.14078739182231204
mean,19,15,Euclidean,optimized,0.24281707937334945
mean,19,15,InnerProduct,fixed,0.0730504188760509
mean,19,15,InnerProduct,optimized,0.15894432171248213
mean,19,15,Manhattan,fixed,0.1657309597820792
mean,19,15,Manhattan,optimized,0.23986872899787937
median,19,15,Euclidean,fixed,0.05382564562372429
median,19,15,Euclidean,optimized,0.08531845420396789
median,19,15,InnerProduct,fixed,0.030011656534044927
median,19,15,InnerProduct,optimized,0.11967394862842932
median,19,15,Manhattan,fixed,0.04453629957679998
median,19,15,Manhattan,optimized,0.07915368607516539
min,19,15,Euclidean,fixed,0.2400421963363853
min,19,15,Euclidean,optimized,0.32069343435652087
min,19,15,InnerProduct,fixed,0.1655978299651206
min,19,15,InnerProduct,optimized,0.2437516653919503
min,19,15,Manhattan,fixed,0.23643293013114677
min,19,15,Manhattan,optimized,0.2912847756121165
max,21,14,Euclidean,fixed,0.058392948154624084
max,21,14,Euclidean,optimized,0.06375865281454243
max,21,14,InnerProduct,fixed,0.05845894643079124
max,21,14,InnerProduct,optimized,0.0710873464271142
max,21,14,Manhattan,fixed,0.058392948154624084
max,21,14,Manhattan,optimized,0.0625837589136383
mean,21,14,Euclidean,fixed,0.14111369039328905
mean,21,14,Euclidean,optimized,0.24137825470013324
mean,21,14,InnerProduct,fixed,0.07299690591041068
mean,21,14,InnerProduct,optimized,0.15633358597296546
mean,21,14,Manhattan,fixed,0.167735738202162
mean,21,14,Manhattan,optimized,0.22288332143623152
median,21,14,Euclidean,fixed,0.04809264737458531
median,21,14,Euclidean,optimized,0.07671077978750648
median,21,14,InnerProduct,fixed,0.020667105489069592
median,21,14,InnerProduct,optimized,0.13579701565670868
median,21,14,Manhattan,fixed,0.03517585201532208
median,21,14,Manhattan,optimized,0.06934946837530369
min,21,14,Euclidean,fixed,0.23560453577109783
min,21,14,Euclidean,optimized,0.31851229278137383
min,21,14,InnerProduct,fixed,0.16604290121593324
min,21,14,InnerProduct,optimized,0.22499001683558922
min,21,14,Manhattan,fixed,0.23054783899578477
min,21,14,Manhattan,optimized,0.28511596187342586
max,22,13,Euclidean,fixed,0.05823474592855696
max,22,13,Euclidean,optimized,0.06326101056749057
max,22,13,InnerProduct,fixed,0.05845894643079124
max,22,13,InnerProduct,optimized,0.0710873464271142
max,22,13,Manhattan,fixed,0.05823474592855696
max,22,13,Manhattan,optimized,0.06287648693616216
mean,22,13,Euclidean,fixed,0.14384676722379255
mean,22,13,Euclidean,optimized,0.23353852926075053
mean,22,13,InnerProduct,fixed,0.07281548390494745
mean,22,13,InnerProduct,optimized,0.1601087746248067
mean,22,13,Manhattan,fixed,0.17060063965534022
mean,22,13,Manhattan,optimized,0.23748516797592378
median,22,13,Euclidean,fixed,0.03566182341922026
median,22,13,Euclidean,optimized,0.07410940765605409
median,22,13,InnerProduct,fixed,0.020152858776973002
median,22,13,InnerProduct,optimized,0.10942866350707574
median,22,13,Manhattan,fixed,0.03337928761350608
median,22,13,Manhattan,optimized,0.060928662446614566
min,22,13,Euclidean,fixed,0.24184597483674627
min,22,13,Euclidean,optimized,0.3245096783011044
min,22,13,InnerProduct,fixed,0.16538056793503192
min,22,13,InnerProduct,optimized,0.21517497518573814
min,22,13,Manhattan,fixed,0.2389714251085468
min,22,13,Manhattan,optimized,0.2932591081213399
max,24,12,Euclidean,fixed,0.05824577500380094
max,24,12,Euclidean,optimized,0.06374527529117192
max,24,12,InnerProduct,fixed,0.05845894643079124
max,24,12,InnerProduct,optimized,0.0710873464271142
max,24,12,Manhattan,fixed,0.05824577500380094
max,24,12,Manhattan,optimized,0.0625703813902678
mean,24,12,Euclidean,fixed,0.1439485723779374
mean,24,12,Euclidean,optimized,0.22824078519911928
mean,24,12,InnerProduct,fixed,0.07262623073378077
mean,24,12,InnerProduct,optimized,0.1553067148547331
mean,24,12,Manhattan,fixed,0.17548989744285987
mean,24,12,Manhattan,optimized,0.22923903362702808
median,24,12,Euclidean,fixed,0.04451692825592479
median,24,12,Euclidean,optimized,0.05047461120059253
median,24,12,InnerProduct,fixed,0.02594465197552466
median,24,12,InnerProduct,optimized,0.09751957620109604
median,24,12,Manhattan,fixed,0.04050241788997773
median,24,12,Manhattan,optimized,0.058583378393942384
min,24,12,Euclidean,fixed,0.24807436195955557
min,24,12,Euclidean,optimized,0.33331905602455636
min,24,12,InnerProduct,fixed,0.17294700255434772
min,24,12,InnerProduct,optimized,0.2248018664494611
min,24,12,Manhattan,fixed,0.24761799614199567
min,24,12,Manhattan,optimized,0.30472557122043725
max,26,11,Euclidean,fixed,0.058447013749103
max,26,11,Euclidean,optimized,0.06246161784595046
max,26,11,InnerProduct,fixed,0.05845894643079124
max,26,11,InnerProduct,optimized,0.0710873464271142
max,26,11,Manhattan,fixed,0.058447013749103
max,26,11,Manhattan,optimized,0.061644492529633756
mean,26,11,Euclidean,fixed,0.14087092425648215
mean,26,11,Euclidean,optimized,0.22719135630229254
mean,26,11,InnerProduct,fixed,0.07266277617373021
mean,26,11,InnerProduct,optimized,0.1557886431852101
mean,26,11,Manhattan,fixed,0.17188234044213793
mean,26,11,Manhattan,optimized,0.22078521029867648
median,26,11,Euclidean,fixed,0.01911848587068544
median,26,11,Euclidean,optimized,0.03672556054042147
median,26,11,InnerProduct,fixed,0.0063465092324102995
median,26,11,InnerProduct,optimized,0.09751621673101546
median,26,11,Manhattan,fixed,0.01996707264596237
median,26,11,Manhattan,optimized,0.030553747919972174
min,26,11,Euclidean,fixed,0.2461987977735797
min,26,11,Euclidean,optimized,0.33086653901569574
min,26,11,InnerProduct,fixed,0.18239157822793747
min,26,11,InnerProduct,optimized,0.2552970800723366
min,26,11,Manhattan,fixed,0.24055779515664746
min,26,11,Manhattan,optimized,0.30114056983913595
max,29,10,Euclidean,fixed,0.05847837064843871
max,29,10,Euclidean,optimized,0.06334737413647301
max,29,10,InnerProduct,fixed,0.05845894643079124
max,29,10,InnerProduct,optimized,0.07127392851046033
max,29,10,Manhattan,fixed,0.05847837064843871
max,29,10,Manhattan,optimized,0.06301668694598402
mean,29,10,Euclidean,fixed,0.14812388889215933
mean,29,10,Euclidean,optimized,0.2098958819533734
mean,29,10,InnerProduct,fixed,0.07238607498554168
mean,29,10,InnerProduct,optimized,0.14511666875130957
mean,29,10,Manhattan,fixed,0.17697129295509553
