n_dims,data_source,scoring,weights,pearson,spearman,kendall,r2_linear,r2_isotonic
6,MDS,Euclidean,optimized,0.7452559753788026,0.7102318810739355,0.5228947943806996,0.5555844793930993,0.6208833231851851
6,MDS,InnerProduct,fixed,0.8102756361399931,0.7757351623724086,0.580959989981746,0.6565466065220703,0.6890426233551736
6,MDS,InnerProduct,optimized,0.7988021725814596,0.7634483193610581,0.5699639389211676,0.6381322888842342,0.7001189347365289
6,MDS,Manhattan,fixed,0.700206336705001,0.6674730453646122,0.4821344040825191,0.49028891396183727,0.5410852657125691
6,MDS,Manhattan,optimized,0.6979455481040272,0.6634341933615188,0.47935726538564644,0.4873734764919016,0.5654595463313198
7,MDS,Euclidean,fixed,0.7680346794964669,0.7434535689782,0.5526361859280636,0.5898772689092406,0.6219678314171275
7,MDS,Euclidean,optimized,0.7596488896298915,0.7293722973054662,0.5403867879830092,0.5773812548088626,0.630172007587804
7,MDS,InnerProduct,fixed,0.823483636443394,0.7905474665635517,0.5963936714799684,0.6781252994900359,0.711597278366035
7,MDS,InnerProduct,optimized,0.8076262667698693,0.7719946415411088,0.578250850039565,0.6523197296053217,0.7106162354985687
7,MDS,Manhattan,fixed,0.7151077713019455,0.6867965183352838,0.5001205070982168,0.5113791245764356,0.5578046803718012
7,MDS,Manhattan,optimized,0.712630838748584,0.6822178622194495,0.49707457113519293,0.5081306425374115,0.5779937940416463
8,MDS,Euclidean,fixed,0.7883259715305747,0.7622212138868804,0.569842382368977,0.6214578373896245,0.6531000403409539
8,MDS,Euclidean,optimized,0.7804696636300635,0.7484146746874938,0.5578368445612074,0.6094874219146603,0.6610414805748551
8,MDS,InnerProduct,fixed,0.8364261023161291,0.8032827367190748,0.6100784715680684,0.6996086246357518,0.7324603294841583
8,MDS,InnerProduct,optimized,0.8170533826586727,0.7804293149987479,0.5880700276264397,0.6676496955903359,0.7253870827473863
8,MDS,Manhattan,fixed,0.7259406270991335,0.6915834368791197,0.5037187124318799,0.5269897940730832,0.5712770991135663
8,MDS,Manhattan,optimized,0.7283859746764436,0.6921753509634171,0.5054070061784125,0.5307475528541715,0.6018306495251142
9,MDS,Euclidean,fixed,0.8080380046090496,0.7839547506793455,0.5899377781664772,0.6529254168925746,0.6828066932969268
9,MDS,Euclidean,optimized,0.8016545012719423,0.7720928449711306,0.5790956176799736,0.6429423995626496,0.6909678398922644
9,MDS,InnerProduct,fixed,0.8478343636202303,0.8178432383119537,0.6254284509717747,0.7188231081353208,0.7506038054606566
9,MDS,InnerProduct,optimized,0.8200638769879817,0.7875591618117659,0.593630098044947,0.6726864545858132,0.7271562820399653
9,MDS,Manhattan,fixed,0.7396924311253356,0.7055702734254046,0.5150096326168232,0.5471448926641092,0.5914640152092221
9,MDS,Manhattan,optimized,0.7468498198219718,0.7128463016670055,0.5222036088259546,0.5579574331570953,0.6300812483674465
10,MDS,Euclidean,fixed,0.8265561092476004,0.8022087903150651,0.6089529245794596,0.6831950017345314,0.7091443682374665
10,MDS,Euclidean,optimized,0.8207414430929397,0.789757924636304,0.5964476008567143,0.6738915747532536,0.7211785737210639
10,MDS,InnerProduct,fixed,0.8594566242772632,0.8294415826717364,0.6392895178236203,0.7386656890140687,0.7646907762753443
10,MDS,InnerProduct,optimized,0.8308947265215775,0.7967668940111988,0.6042151487549948,0.6905701843030964,0.7460381477059974
10,MDS,Manhattan,fixed,0.7551442250887908,0.7151589502574304,0.5245122821706958,0.5702428006849505,0.6102649485060866
10,MDS,Manhattan,optimized,0.7614987273794457,0.7215418551973019,0.5308314892575217,0.5801262049907993,0.6480910382812965
