aggregator,block_size,image_size,scoring,pearson,spearman,kendall,r2_linear,r2_isotonic
product,3,100,Euclidean,0.6083262760435075,0.25868830143080285,0.1773191490427871,0.3700608581249618,0.464197141821033
product,3,100,Cosine,0.453544799961985,0.24308623426541628,0.16719565229435965,0.20570288557255711,0.4623385565455336
std,3,100,Manhattan,0.1480789760592333,0.09907959110469468,0.06754597076267643,0.021927383150751267,0.43540438115016933
std,3,100,Euclidean,0.16024351168860254,0.06986108424909265,0.04740825727732312,0.025677983038295382,0.4336050613251684
std,3,100,Cosine,0.5516490789351816,0.13962654153551055,0.0944921495606239,0.3043167062900345,0.4409656309385288
max,3,100,Manhattan,0.30658531318863264,0.16962206519717202,0.11498777048400692,0.09399455426297221,0.44521273663387406
max,3,100,Euclidean,0.32151640980071244,0.13633978030490423,0.09195612941618647,0.10337280177113972,0.43887542876635477
max,3,100,Cosine,0.20039636384946327,0.13186902788347193,0.08918545806135618,0.0401587026440865,0.4377968445084994
var,3,100,Manhattan,0.02553764373066777,0.02895110436195935,0.01979650886734068,0.000652171247314759,0.430175427974131
var,3,100,Euclidean,0.02885249571472871,0.017584112423284618,0.012383882487427162,0.0008324665089685102,0.4302330807664694
var,3,100,Cosine,0.6045971801132121,0.05960350360116884,0.03968812422417833,0.3655377502008478,0.42841752547266854
median,3,100,Manhattan,0.3830342425165988,0.25171705263198985,0.17182195546790566,0.14671523094026473,0.4655952728886843
median,3,100,Euclidean,0.42671609069828836,0.21136461445879087,0.14361297282260566,0.18208662206083004,0.45077036227469913
median,3,100,Cosine,0.2749773769875083,0.20315289141660428,0.1379628266219183,0.07561255785493048,0.44834730270376133
mean,3,100,Manhattan,0.40200139557610165,0.2562958728506279,0.1754456292806335,0.16160512204513355,0.47095639898726815
mean,3,100,Euclidean,0.4488730747600724,0.21335026623541112,0.14539425284906413,0.20148703724456163,0.45463150523952345
mean,3,100,Cosine,0.29552530233774665,0.20430398154428683,0.13935341159056722,0.08733520432181674,0.4513792561771828
min,4,75,Manhattan,0.4016092226498567,0.27383631140611586,0.18727884360356195,0.16128996771742232,0.47650083107300023
min,4,75,Euclidean,0.4664833336646684,0.2276797045181396,0.15507316700160786,0.21760670058690235,0.45955128763064024
min,4,75,Cosine,0.2968793202420798,0.21779652659725085,0.1482972494362836,0.08813733078739927,0.4559245164876321
product,4,75,Manhattan,0.4743355058380849,0.2584616335750419,0.17757588710494673,0.22499417209867212,0.46866818389295073
product,4,75,Euclidean,0.6059204252731807,0.27266745918704033,0.18715345756506452,0.36713956176323226,0.4728210945329967
product,4,75,Cosine,0.43908219767631085,0.2556492915620192,0.1756794613446822,0.19279317631625903,0.4679130876531894
std,4,75,Manhattan,0.12704970494416837,0.09309943398397749,0.06343911618471061,0.01614162752640036,0.4348168772651213
std,4,75,Euclidean,0.13583058976444773,0.06535334719874383,0.044259613254143716,0.018449949115757813,0.4338650394164475
std,4,75,Cosine,0.5523791100911442,0.1325353483180072,0.09003140397973078,0.30512268126508446,0.44192977576213743
max,4,75,Manhattan,0.2958517240243826,0.16296226893333376,0.11048347510510151,0.08752824260819936,0.44309406571078747
