aggregator,block_size,image_size,scoring,pearson,spearman,kendall,r2
min,4,75,Manhattan,0.3051715108386397,0.21683332809479716,0.14767758829510028,0.09312965102753801
median,4,75,Euclidean,0.29937573346004553,0.16470895563129853,0.11217923864717906,0.08962582978473999
median,4,75,Cosine,0.20413972954258533,0.15827664865247154,0.10738829258078744,0.041673029177719756
median,4,75,Manhattan,0.2919911664419102,0.20785894566514965,0.14177583891916037,0.0852588412801073
std,4,75,Euclidean,0.2025666406782273,0.08773178782746929,0.059132795592638225,0.0410332439156621
std,4,75,Cosine,0.3810078046351205,0.08717090760947536,0.05925932641980531,0.14516694719287426
std,4,75,Manhattan,0.17532430220906225,0.11513991975952673,0.07773691741410979,0.03073861094509467
max,4,75,Euclidean,0.2804428145910924,0.15310967052937544,0.10427894949626472,0.0786481722557737
max,4,75,Cosine,0.18847844919018905,0.14509453669312117,0.09864338445203313,0.03552412580913855
max,4,75,Manhattan,0.2723175295424999,0.19386080318995633,0.13229446467507902,0.07415683689613028
product,4,75,Euclidean,0.4085893292924769,0.21234512028034638,0.14436828823428208,0.15258596289592752
product,4,75,Cosine,0.3147212271749875,0.19819580541313403,0.1343053927514069,0.09904945083452998
product,4,75,Manhattan,0.3368033772307738,0.202699159026377,0.13759511209221406,-0.059449648018843115
var,5,60,Euclidean,0.10287823609342044,0.06327375481446211,0.04224240988254373,0.010583931461693563
var,5,60,Cosine,0.410040232272317,0.11509123956383205,0.07815779534544022,0.16813299208193577
var,5,60,Manhattan,0.09124081858502268,0.07141512323401181,0.04807218104326293,0.008324886976065038
mean,5,60,Euclidean,0.29706317424653783,0.16564716681542205,0.11292555733720264,0.08824652949342882
mean,5,60,Cosine,0.20259803814820676,0.1589425439688075,0.10800863420292978,0.041045965061502154
mean,5,60,Manhattan,0.2897122923347259,0.20641836921651704,0.14071164653729257,0.08393321232984152
min,5,60,Euclidean,0.31795404741390104,0.17503145376935683,0.11904976070533713,0.10109477626688124
min,5,60,Cosine,0.22096614905906112,0.1694720249652535,0.11496314097300864,0.048826039029991275
min,5,60,Manhattan,0.3067201829161232,0.21773411346342192,0.14817444649821254,0.0940772706081
median,5,60,Euclidean,0.2988216442786228,0.1641292081764498,0.11192492528644063,0.08929437508937976
median,5,60,Cosine,0.20347592532817674,0.15749273356506596,0.10691110671760101,0.04140245218815786
median,5,60,Manhattan,0.291679372151288,0.20765472412813585,0.14156628230838744,0.08507685613856963
std,5,60,Euclidean,0.21105857081872056,0.09100215854954281,0.061462479479702785,0.04454572031604076
std,5,60,Cosine,0.37568496768095355,0.10025552925741003,0.06766352384224451,0.14113919494143912
std,5,60,Manhattan,0.18674866934759496,0.11915366137138123,0.08041679322176472,0.03487506550309738
max,5,60,Euclidean,0.2756249512022496,0.15135525494031982,0.10287984054540217,0.07596911372524229
max,5,60,Cosine,0.1852084049729861,0.1434074098988089,0.09757925997712742,0.034302153272637415
max,5,60,Manhattan,0.267189525532158,0.19101028372617318,0.1300605838496661,0.07139024255409976
product,5,60,Euclidean,0.3381394408745376,0.09907425825651199,0.06719550894689591,0.07763320657296058
product,5,60,Cosine,0.3968302062130694,0.05843823672021901,0.038708840035819043,0.15747421256310723
product,5,60,Manhattan,0.2917593299889957,0.1425120164438129,0.09695414649635323,-0.1056449979692704
var,6,50,Euclidean,0.1043765762677701,0.06267070171292032,0.04199144295892851,0.010894469673381701
var,6,50,Cosine,0.4044656222835362,0.11253605839964699,0.07614120788761441,0.16359243960920822
var,6,50,Manhattan,0.09351915490474709,0.07247855986120624,0.04856654559752407,0.008745832334098091
mean,6,50,Euclidean,0.29537732976979547,0.16525020552086464,0.11260543980906274,0.08724776694193448
mean,6,50,Cosine,0.20138734537853653,0.15829791362711357,0.10763356611446526,0.04055686287861393
mean,6,50,Manhattan,0.28772578421371836,0.20437998330241977,0.13938933093779501,0.08278612690139919
min,6,50,Euclidean,0.3191788687195864,0.1752053747750073,0.11925208751132815,0.10187515023711491
min,6,50,Cosine,0.2224877940010932,0.1701073387837646,0.11552717466329498,0.04950081847947274
min,6,50,Manhattan,0.3073145250924266,0.21755243395673526,0.1482581312301795,0.09444221733278368
median,6,50,Euclidean,0.2977970184505163,0.16378106750131494,0.11160088938099712,0.08868306419801697
median,6,50,Cosine,0.20297283955523843,0.15716358536917513,0.10668587499017702,0.04119797359711641
median,6,50,Manhattan,0.2904172387577739,0.20628140677166087,0.14060546889561745,0.08434217256768994
std,6,50,Euclidean,0.21563775033396373,0.0953512622495094,0.06445928271333601,0.04649963936909285
std,6,50,Cosine,0.36851927810348706,0.10427678457745741,0.07060203438774647,0.13580645833391525
std,6,50,Manhattan,0.19149257843624598,0.12297842871689317,0.08297450944844391,0.036669407596161885
max,6,50,Euclidean,0.26843389385887795,0.1475793186653719,0.10027154261722519,0.07205675537223932
max,6,50,Cosine,0.17966815201818806,0.13957740384255543,0.09490701914328349,0.03228064484963067
max,6,50,Manhattan,0.26017004981730846,0.18584731241192037,0.1265870986875974,0.06768845482194052
product,6,50,Euclidean,0.40932949453306766,0.22297491001458702,0.15197940275210545,0.15256125268749843
product,6,50,Cosine,0.31288078236054473,0.2077870046774852,0.14134961046376482,0.0978943839705465
product,6,50,Manhattan,0.33772622344898995,0.20911322830687576,0.1425196702002979,-0.055647478976309506
var,7,43,Euclidean,0.11074662766251503,0.06588312943561428,0.04406243439304868,0.012264815538619689
var,7,43,Cosine,0.2919210238800224,0.07386693555483438,0.04974614905132088,0.08521788418316056
var,7,43,Manhattan,0.09808131348887508,0.07334592481674548,0.04937871593666734,0.009619944055702767
mean,7,43,Euclidean,0.2942753033273631,0.16560106546240172,0.11287306689225211,0.08659795414841143
mean,7,43,Cosine,0.2003996564615675,0.15865960818660468,0.107860706585342,0.040160022309914334
mean,7,43,Manhattan,0.28751709181031465,0.20477650970038397,0.13966800748189587,0.08266607808306092
min,7,43,Euclidean,0.320802975584559,0.17560243418580626,0.1195942583094107,0.10291454914390719
min,7,43,Cosine,0.22374859008773182,0.17084351734190378,0.11590987772557049,0.05006343156624782
min,7,43,Manhattan,0.3086899950459121,0.21714341272958892,0.14792212003248725,0.09528951304144528
median,7,43,Euclidean,0.2970999383547549,0.16375064176782284,0.11152453964288729,0.08826837337039928
median,7,43,Cosine,0.20217166135077608,0.15691381062596627,0.10647686758210138,0.04087338065333268
median,7,43,Manhattan,0.29011260865351746,0.20688196097518427,0.14118138845107142,0.08416532569974888
std,7,43,Euclidean,0.22484290177005914,0.0949449023322394,0.0640440305457025,0.05055433047638058
std,7,43,Cosine,0.3599670171419041,0.10237886114333763,0.06926877708600362,0.12957625343003976
std,7,43,Manhattan,0.20119866722681579,0.12149033800602105,0.08213561670096219,0.040480903693846826
max,7,43,Euclidean,0.2636687988464086,0.14483065724511177,0.09844296638949485,0.0695212354851078
max,7,43,Cosine,0.17653678438153772,0.13623797650444588,0.0925878958481975,0.03116523623977363
max,7,43,Manhattan,0.2553249201185625,0.18218501736687462,0.12402444547009785,0.06519081483355027
product,7,43,Euclidean,0.35189058574161125,0.1144700429430705,0.07771966455006248,0.09345384007976154
product,7,43,Cosine,0.3863003990419867,0.13344671947639367,0.09041479142724655,0.1492279982999981
product,7,43,Manhattan,0.2987803335506111,0.14705432231615084,0.09994991934543755,-0.0940792572519995
var,8,38,Euclidean,0.1080944777247075,0.06575466763662421,0.04417452427783975,0.011684416114577156
var,8,38,Cosine,0.08547143345912084,0.06494896370637299,0.04364962246325121,0.007305365937556929
var,8,38,Manhattan,0.1005107795896423,0.0752782840428063,0.05048578713925984,0.010102416813717596
mean,8,38,Euclidean,0.29388442281559063,0.16587373756251972,0.11310020736312885,0.08636805397365288
mean,8,38,Cosine,0.20012089147524578,0.15889449940334943,0.107965687475243,0.040048371204847055
mean,8,38,Manhattan,0.28634110487116615,0.20382549936936223,0.13911784537398245,0.0819912283388401
min,8,38,Euclidean,0.3215497733162814,0.1747787076294154,0.11896195850651081,0.10339425671975178
min,8,38,Cosine,0.22458912383054627,0.17084029099458176,0.11585929602407273,0.050440274542972285
min,8,38,Manhattan,0.3073532430328672,0.21591021535073676,0.14716308926244281,0.09446601600282067
median,8,38,Euclidean,0.2956817197420642,0.16356384051869585,0.11132030409344351,0.08742767938962459
median,8,38,Cosine,0.20123743048967613,0.15665196449621935,0.10627740389128945,0.04049650343008715
median,8,38,Manhattan,0.28883413328862073,0.2053979713388046,0.14003100284039804,0.08342515655258897
std,8,38,Euclidean,0.23013913705979508,0.09454856831160392,0.06378852731838473,0.05296402240662712
std,8,38,Cosine,0.3645420849118443,0.12424999722636461,0.08436980091240101,0.13289093167187427
std,8,38,Manhattan,0.20521168148121868,0.12163327657785131,0.08197241913575243,0.04211183421634912
max,8,38,Euclidean,0.258322654946524,0.14165152886773516,0.09645023822482836,0.06673059405862092
max,8,38,Cosine,0.1721655174915055,0.133044552034703,0.09066483681955623,0.02964096541311778
max,8,38,Manhattan,0.2499226493628312,0.1779880819907967,0.12123739794998416,0.06246133066453663
product,8,38,Euclidean,0.36844939973862184,0.13404774278987502,0.09083757810202972,0.11335855313520493
product,8,38,Cosine,0.3127137648109061,0.13930772130003397,0.09432962424882793,0.09778989870221078
product,8,38,Manhattan,0.3118863698528133,0.16713699887374459,0.11319946202267163,-0.08690131250762745
var,9,34,Euclidean,0.10813886871573081,0.060176425572122307,0.0402415562277273,0.011694014927117968
var,9,34,Cosine,0.09564556187034368,0.06089409402422882,0.040750241158530535,0.009148073505493737
var,9,34,Manhattan,0.10154811585921876,0.07380003163070682,0.04968411488910665,0.010312019834557429
mean,9,34,Euclidean,0.2923139603674279,0.16587887848399407,0.11304867128990471,0.0854474514256901
mean,9,34,Cosine,0.19896452600737513,0.15875256736247634,0.10789315522403867,0.03958688260933951
mean,9,34,Manhattan,0.2856026606645901,0.20344329972634853,0.13881479915851855,0.08156887977869287
min,9,34,Euclidean,0.32408503743978173,0.17739010714480477,0.12075045112173352,0.10503111149234456
min,9,34,Cosine,0.22733770384025875,0.173551566879506,0.11779667062860957,0.05168243158736108
min,9,34,Manhattan,0.3093987052735053,0.21773229170164632,0.14846233445561638,0.09572755882492123
median,9,34,Euclidean,0.2950091912905848,0.16323480972693497,0.11128549607720846,0.08703042294592478
median,9,34,Cosine,0.20005656846556374,0.15602996259094984,0.10587084153585463,0.04002263058621691
median,9,34,Manhattan,0.28841280515682716,0.20612642105780535,0.140410517667374,0.08318194617843
std,9,34,Euclidean,0.23465453443081752,0.09611593961286681,0.06499775037705448,0.055062750528943716
std,9,34,Cosine,0.35838719127581276,0.12709598620876011,0.0863405785273609,0.12844137887056584
std,9,34,Manhattan,0.21290834210518608,0.12459207316337599,0.08434689599096805,0.045329962137978796
max,9,34,Euclidean,0.25058148239427047,0.1382297112780513,0.0939574192755425,0.06279107931891004
max,9,34,Cosine,0.16840119925481048,0.1302986587491987,0.08863584252928758,0.028358963910458335
max,9,34,Manhattan,0.24258954971749155,0.17365504475919966,0.1184079832301202,0.05884968963213544
product,9,34,Euclidean,0.3908183439021409,0.18251144561992058,0.1236002050966828,0.13589341132176935
product,9,34,Cosine,0.31158997067315086,0.18298577804831287,0.12405925789706813,0.09708830982409489
product,9,34,Manhattan,0.33440156545759886,0.21566488988026933,0.1464650429171232,-0.09711017131135602
var,10,30,Euclidean,0.11753933210656278,0.07351735364325473,0.0492769588055201,0.013815494592056776
var,10,30,Cosine,0.3875775970694432,0.10242426679557147,0.06916856805473447,0.15021639375012374
var,10,30,Manhattan,0.10680080631193471,0.07757572273399202,0.0518467212210675,0.011406412228879281
mean,10,30,Euclidean,0.29186879267409005,0.1662471228289016,0.11335216149889128,0.08518739213703108
mean,10,30,Cosine,0.1989381452203744,0.15941105863429758,0.10832453124435919,0.039576385623722676
mean,10,30,Manhattan,0.2850598256794972,0.2034601173848184,0.13876135434184167,0.08125910421642524
min,10,30,Euclidean,0.323682019171669,0.1772162839284215,0.12056721175026994,0.10477004953504865
min,10,30,Cosine,0.2269430278822793,0.17312693654465036,0.11745214243538898,0.051503137904377105
min,10,30,Manhattan,0.307729500511345,0.21664737113258362,0.14752864702587726,0.09469744548496195
median,10,30,Euclidean,0.2945060645219498,0.1631167368132538,0.11131839534999079,0.08673382204020685
median,10,30,Cosine,0.2006321559546219,0.15675510004233018,0.10650549873389256,0.04025326200299961
median,10,30,Manhattan,0.2884595875247928,0.20558557259024773,0.14016965461874223,0.08320893363497361
std,10,30,Euclidean,0.2409456684850487,0.09686835455738686,0.06536316048551025,0.058054815161707074
std,10,30,Cosine,0.3403466702051592,0.11234108336477366,0.07626336746859014,0.11583585591973933
std,10,30,Manhattan,0.21685249001558493,0.12197492643305573,0.08273877963202983,0.04702500242595942
max,10,30,Euclidean,0.24748774232035267,0.1366838600350055,0.0929887763459495,0.0612501825988252
max,10,30,Cosine,0.16559005464822135,0.1284871740423143,0.08732835326415679,0.027420066198401094
max,10,30,Manhattan,0.2385299172355312,0.17089705382719111,0.11645031055572039,0.056896521416389234
product,10,30,Euclidean,0.3834573243471348,0.20437618768186386,0.13941605334613344,0.09623423227968764
product,10,30,Cosine,0.28829018398754014,0.2058067440773933,0.14026067232397338,0.0831112301835698
product,10,30,Manhattan,0.31227970483317835,0.2186066851032009,0.1492126791173506,-0.3375841537069342
var,11,28,Euclidean,0.11099968156356255,0.06386745626812364,0.042854582247697906,0.012320929307212292
var,11,28,Cosine,0.12018606494665397,0.0642699981559843,0.04335376722807563,0.014444690207361166
var,11,28,Manhattan,0.09962025613089598,0.07438600936693844,0.04979768512454502,0.009924195431585292
mean,11,28,Euclidean,0.29057805842266543,0.16555631248357786,0.11280205313780138,0.08443560803668582
mean,11,28,Cosine,0.19760146833984277,0.15867626449278371,0.10787311341778484,0.03904634029006193
mean,11,28,Manhattan,0.2824618837322061,0.2007090265997637,0.13695377429209152,0.07978471576154622
min,11,28,Euclidean,0.3235592544118825,0.1769900358859055,0.12057293798062817,0.10469059111557333
min,11,28,Cosine,0.2272694036370751,0.17337408215356173,0.11790165151851059,0.051651381829551646
min,11,28,Manhattan,0.30862378904902343,0.21539765132288932,0.14680380572090426,0.09524864316697601
median,11,28,Euclidean,0.294160145594266,0.16278757679980507,0.11084457623442445,0.08653019125603956
median,11,28,Cosine,0.19929301766504126,0.15567195748081034,0.10564274669325152,0.03971770689003851
median,11,28,Manhattan,0.28692140271280797,0.20434833684911893,0.1393801398298339,0.08232389133468554
std,11,28,Euclidean,0.23614358351854542,0.09732031436672589,0.06545207277306757,0.05576379203698012
std,11,28,Cosine,0.3392661274677573,0.12090453978294417,0.08202395520897657,0.1151015052469685
std,11,28,Manhattan,0.2196060987191554,0.12537822064005227,0.08466183866067109,0.04822683859464727
max,11,28,Euclidean,0.24040484999420308,0.13170433694865874,0.08967901361952557,0.05779449190073538
max,11,28,Cosine,0.16127902062086433,0.12353839450805612,0.08410066808556386,0.026010922492425093
max,11,28,Manhattan,0.23131353367770577,0.16512703979782817,0.1126597980784708,0.05350595086246712
product,11,28,Euclidean,0.38567508458408667,0.21004888788962073,0.14323163150817203,0.09685847544253612
product,11,28,Cosine,0.28849400283228827,0.20937778459631293,0.14278116805332405,0.08322878967019642
product,11,28,Manhattan,0.3086141808640511,0.2177418235529013,0.1484215049561875,-0.3782626381142462
var,12,25,Euclidean,0.12054804199621504,0.06743223780292038,0.04506638599511782,0.014531830429121206
var,12,25,Cosine,0.377384789014255,0.11174070615895046,0.07501218613531535,0.1424192789793337
var,12,25,Manhattan,0.11181566247297814,0.0768449589072753,0.051383850933776676,0.012502742374270737
mean,12,25,Euclidean,0.2891452607348126,0.1657073647051152,0.11289838374178818,0.08360498180540277
mean,12,25,Cosine,0.19760197805616309,0.15905431011624127,0.1080744858520495,0.039046541731708295
mean,12,25,Manhattan,0.2815856029108901,0.20068895891523986,0.13689415872098093,0.07929045176668936
min,12,25,Euclidean,0.3235565934316819,0.1757326768554494,0.11966819358402671,0.1046888691531147
min,12,25,Cosine,0.2283809413245093,0.17330228038413822,0.11786920287981392,0.052157854360268874
min,12,25,Manhattan,0.3078412256197776,0.21427866360450049,0.14600891641102143,0.09476622019108671
median,12,25,Euclidean,0.2909892005829006,0.1614702093286937,0.11012733943547746,0.08467471485587552
median,12,25,Cosine,0.19812334674768334,0.15451064217911054,0.10499472829104436,0.0392528605265029
median,12,25,Manhattan,0.2862034695119988,0.20555123746281906,0.14018417093850272,0.08191242596070558
std,12,25,Euclidean,0.25390786554040273,0.10269212250529389,0.06954720472996262,0.06446920418328317
std,12,25,Cosine,0.333882022532794,0.1176075271424824,0.079577900474283,0.1114772049705891
std,12,25,Manhattan,0.23105030507582894,0.1325394648817841,0.08959307737083953,0.05338424347563353
max,12,25,Euclidean,0.23672204990476942,0.13189438890042982,0.08956062873214286,0.056037328911116124
max,12,25,Cosine,0.1588776546937784,0.12295137182365527,0.08359580544231263,0.02524210916099534
max,12,25,Manhattan,0.22784933722102418,0.16468811496267702,0.11222815462845462,0.051915320472059934
product,12,25,Euclidean,0.38856220824253224,0.22408254529506041,0.1533756485877889,0.0931345889057913
product,12,25,Cosine,0.28806976635535364,0.22719029309535718,0.15503625539167765,0.08298419028802795
product,12,25,Manhattan,0.306214663189472,0.2258522488390494,0.154166822748952,-0.4341909552808527
var,13,24,Euclidean,0.1259991890025039,0.07901394665659871,0.05312602986059354,0.015875795629288758
var,13,24,Cosine,0.3741146750013932,0.11890606523334607,0.08018297214880338,0.13996179005139808
var,13,24,Manhattan,0.1132814879259251,0.08560219383878576,0.057381122862303575,0.012832695506711622
mean,13,24,Euclidean,0.28762082683374457,0.16525462602858998,0.112644972049649,0.08272574002852695
mean,13,24,Cosine,0.19597936647187078,0.15869808826323817,0.10783493854872991,0.03840791208271577
mean,13,24,Manhattan,0.2802313810590232,0.2001059112944596,0.1365262157586765,0.07852962693024745
min,13,24,Euclidean,0.32254749450724307,0.17549928390997668,0.11939810638546319,0.10403688621289997
min,13,24,Cosine,0.22699626481368965,0.17301994949840238,0.1176802372779921,0.05152730423936669
min,13,24,Manhattan,0.30477096066118325,0.20993726511667743,0.14290353315332593,0.0928853384623406
median,13,24,Euclidean,0.29289983409050757,0.1618828395800145,0.1104065195075027,0.08579031281024685
median,13,24,Cosine,0.20006279004355798,0.15523310439553883,0.10557784941585815,0.04002511996001268
median,13,24,Manhattan,0.28686933235524464,0.20613780825352615,0.1406266217455826,0.08229401384594393
std,13,24,Euclidean,0.25615887275292687,0.1091857690961381,0.07360796286303715,0.06561736809005037
std,13,24,Cosine,0.33167426257779054,0.12771388725126112,0.08695137643223952,0.11000781645652125
std,13,24,Manhattan,0.236460984702697,0.1349333789714912,0.09122982488156894,0.05591379728656898
max,13,24,Euclidean,0.23061571149782756,0.1296052679301764,0.08812766061150804,0.05318360638964914
max,13,24,Cosine,0.15587932351037354,0.12179510594061552,0.08262139190968597,0.02429836349805159
max,13,24,Manhattan,0.22131590213814914,0.15953027349445062,0.10867518965302428,0.04898072853922275
product,13,24,Euclidean,0.29923635771042845,0.07945266030001531,0.05335149812072445,0.012112106037968973
product,13,24,Cosine,0.37000531227090444,0.06299995026961742,0.04203005364359651,0.1369039311086896
product,13,24,Manhattan,0.262647948545765,0.12877781282479145,0.08718901499210636,-0.21424378485936657
var,14,22,Euclidean,0.11492130452181683,0.07434739378232041,0.04969556734982313,0.01320690623299614
var,14,22,Cosine,0.09198379955560915,0.07432426242966485,0.04963735067451438,0.008461019380686663
var,14,22,Manhattan,0.10685958892626118,0.08381811108155342,0.0561261240421233,0.011418971745489559
mean,14,22,Euclidean,0.28709994925018356,0.16592370229008818,0.11308302867205414,0.08242638085945797
mean,14,22,Cosine,0.1955528389911205,0.15894641153432426,0.10805539841752204,0.038240912837487206
mean,14,22,Manhattan,0.27959452927488737,0.19919663385900901,0.1358791517281957,0.07817310080044582
min,14,22,Euclidean,0.32644172543707123,0.17946922012110522,0.12203503546543133,0.10656420010633216
min,14,22,Cosine,0.2294258660603821,0.17697140004556094,0.12030857701242288,0.0526362280175563
min,14,22,Manhattan,0.30924623463875517,0.21567117127869542,0.147089013430896,0.09563323363824783
median,14,22,Euclidean,0.29298215061170785,0.16209803318783397,0.11064556328289793,0.08583854057706142
median,14,22,Cosine,0.1996744331591769,0.1552763419200204,0.10545187234797694,0.03986987925743868
median,14,22,Manhattan,0.28640254317106345,0.20477853761544734,0.1396035323434049,0.08202641673485289
std,14,22,Euclidean,0.24898936801378269,0.11021465147246917,0.07435549855495617,0.06199570538390298
std,14,22,Cosine,0.3349643739410959,0.13907603058630488,0.09458253275631673,0.11220113180975033
std,14,22,Manhattan,0.23587801540324613,0.13858250631573465,0.09390302008713926,0.05563843815057401
max,14,22,Euclidean,0.22156993535212663,0.1257616083953986,0.08546687160353882,0.049093236251945616
max,14,22,Cosine,0.14899498384747975,0.11758475062516774,0.07991097620678711,0.02219950521171077
max,14,22,Manhattan,0.21334196424286375,0.15499641629031466,0.10593069095004662,0.04551479370700351
product,14,22,Euclidean,0.40171584070871325,0.22478275835772205,0.15330884256694283,0.1162163556864867
product,14,22,Cosine,0.30198684470146664,0.22109315533729992,0.15081506924593058,0.09119605437274747
product,14,22,Manhattan,0.316951628399715,0.22165505246648964,0.15113478377426548,-0.3693864561573581
var,15,20,Euclidean,0.11454036955111356,0.06617050755291765,0.04436870268064721,0.013119496256905783
var,15,20,Cosine,0.3669865632138692,0.11612678739052286,0.07844028937644658,0.1346791375795272
var,15,20,Manhattan,0.10760157448536514,0.07690707884075369,0.05143443263527444,0.011578098831729444
mean,15,20,Euclidean,0.28646880766000293,0.16544184427909203,0.11271082369876874,0.08206437776214393
mean,15,20,Cosine,0.19519008756164705,0.15891171450534092,0.10793133009309358,0.03809917028232346
mean,15,20,Manhattan,0.27736522448819045,0.1962736379241972,0.13375567463701615,0.07693146775538429
min,15,20,Euclidean,0.32288329119941533,0.17510785023734807,0.11906884813986457,0.10425361973576641
min,15,20,Cosine,0.22854234782764737,0.17238226498865702,0.11705703254067062,0.052231604750573535
min,15,20,Manhattan,0.3064836492706604,0.2110101957035583,0.1436985789787958,0.09393222727026129
median,15,20,Euclidean,0.29042501087228434,0.1612299620540868,0.10978949184434149,0.08434668694016645
median,15,20,Cosine,0.1954104539885286,0.15429626784911393,0.10470746240140615,0.03818524552800295
median,15,20,Manhattan,0.28129325469545347,0.20071526132891418,0.13682173885994073,0.07912589513716106
std,15,20,Euclidean,0.2504679747634027,0.10521248504068692,0.07094816662773236,0.0627342063820806
std,15,20,Cosine,0.31808781617663806,0.12865916231294852,0.08739706802845565,0.10117985880002267
std,15,20,Manhattan,0.23658348732478057,0.13314117970508332,0.0900368602236029,0.05597174647475467
