epoch,loss,mapping_loss,mapping_weighted_med,mapping_weighted_r2,reconstruction_loss,val_loss,val_mapping_loss,val_mapping_weighted_med,val_mapping_weighted_r2,val_reconstruction_loss
13,0.09406214152422572,0.000687918165357552,0.023987676750525155,0.9992745477128057,0.09389016197183656,0.295903051028649,0.7862202828609886,0.819715910196461,0.23772574899284538,0.09934798013592759
14,0.09325910273552497,0.0006403743780202851,0.023139911406818026,0.9993254432461226,0.09309900918043063,0.30113747031256555,0.8097981871051875,0.8285240041511495,0.21529804454747956,0.098687923848629
15,0.09252160268997646,0.0006263044225893531,0.02289410314197753,0.9993395199923143,0.09236502662831385,0.29996918567826353,0.8064500061678569,0.8233440184658227,0.2218405010232244,0.09835668442294002
16,0.09181326206299707,0.0006083268968105482,0.022613120318011163,0.9993585854803528,0.09166118028805165,0.30520808039501307,0.831182783005506,0.8380531863595065,0.19445244594172925,0.09741238466973107
17,0.09119365658380674,0.0005859161248487866,0.022165491337515195,0.9993821104321207,0.09104717755635881,0.3038857166145245,0.8278866636982234,0.8335695101115086,0.20262907286951298,0.096914051066041
18,0.09061987156020163,0.0005675881120358357,0.021828469630687245,0.9994020090115668,0.09047797451158736,0.30580722975308694,0.8362946192986043,0.8386077811643292,0.19249000070928926,0.0967335752085348
19,0.09009491294283363,0.0005408578080667428,0.021268148765254815,0.9994305519337137,0.0899596984564493,0.3099186202514668,0.853727412811234,0.8471977352845926,0.1750228337344952,0.09648676737353205
20,0.08962223877915146,0.0005227712527592721,0.02095935813041541,0.9994496483021049,0.08949154601492153,0.30707950547953444,0.8450947283730557,0.8449904908216487,0.1819554404999758,0.095805822998782
21,0.0891874317479697,0.0005178559440961858,0.020851387553484275,0.9994550223354698,0.08905796775574792,0.3068611194851001,0.8464551691521998,0.8428967001649361,0.1811887577112956,0.09524732738221685
22,0.08878839741892408,0.0004893259115120417,0.020274523289193908,0.9994840803126889,0.08866606596879044,0.30897456416517494,0.8543389087224892,0.8475166734930054,0.1738918214715216,0.09538983650818467
23,0.08837565264361394,0.0004798234741739989,0.020101957436370617,0.9994942645869428,0.08825569676372245,0.3111119473641614,0.8640160931000351,0.8541943276139441,0.16369508017667317,0.09510792407085499
24,0.08799051274322713,0.0004626730726345493,0.019728253568906246,0.9995120092270116,0.08787484442904296,0.3081376071383059,0.8552435198777647,0.8493214108284894,0.17277548547170726,0.09432672722657522
25,0.08761462421442275,0.0004523580071673978,0.019521343162339812,0.9995231496620067,0.08750153471179993,0.30741542199800415,0.8532929348986864,0.8476261843832849,0.1750342278199579,0.09409218856612842
26,0.08727945123724161,0.0004485344007760903,0.019421120575502028,0.9995273734543955,0.08716731764541345,0.3108537042145928,0.867651333316233,0.8551658882037907,0.1595006824948887,0.09394087107658386
27,0.0869356434674914,0.00044472193731435317,0.019346028619066594,0.9995309057251018,0.08682446293924069,0.31116746218696234,0.8700999262727773,0.8558954772993421,0.15793592457719322,0.09364248070190351
28,0.08662057020717769,0.00042934306628462536,0.019047588026835698,0.9995477723964037,0.0865132344132474,0.3113557102444768,0.8716250210750758,0.8596695999988037,0.15422054502648186,0.09344945486808817
29,0.08633548805279312,0.0004204129292878587,0.018814479088619385,0.9995571416797271,0.08623038480968988,0.3112767698021233,0.8719120738940022,0.8590838251610701,0.15480771347400848,0.09329875096698602
30,0.0860452980863728,0.00040708956033042487,0.018543555340952433,0.9995710622853966,0.08594352566575156,0.3131739552257458,0.8807779382809632,0.8630064431226387,0.145291238810707,0.09297947109450896
31,0.08575579404065879,0.0004086327560590958,0.018555124150915127,0.9995703311895684,0.08565363583949372,0.3145164095972975,0.8854345267375213,0.8658241463621256,0.14038200901932704,0.0931577777164181
32,0.08553499445023587,0.00039935552292158245,0.01836027352295842,0.9995788150970132,0.08543515555960503,0.31668156737546127,0.8973698623851318,0.8697919422212763,0.12770152343652463,0.09233910156995058
